depth,states
0,1
1,3
2,5
3,8
4,11
5,15
6,19
7,24
8,29
9,35
10,41
11,48
12,55
13,63
14,71
15,80
16,89
17,99
18,109
19,120
20,131
21,143
22,155
23,168
24,181
25,195
26,209
27,224
28,239
29,255
30,271
31,288
32,305
33,323
34,341
35,360
36,379
37,399
38,419
39,440
40,461
41,483
42,505
43,528
44,551
45,575
46,599
47,624
48,649
49,675
50,701
51,728
52,755
53,783
54,811
55,840
56,869
57,899
58,929
59,960
60,991
61,1023
62,1055
63,1088
64,1121
65,1155
66,1189
67,1224
68,1259
69,1295
70,1331
71,1368
72,1405
73,1443
74,1481
75,1520
76,1559
77,1599
78,1639
79,1680
80,1721
81,1763
82,1805
83,1848
84,1891
85,1935
86,1979
87,2024
88,2069
89,2115
90,2161
91,2208
92,2255
93,2303
94,2351
95,2400
96,2449
97,2499
98,2549
99,2600
100,2651
101,2703
102,2755
103,2808
104,2861
105,2915
106,2969
107,3024
108,3079
109,3135
110,3191
111,3248
112,3305
113,3363
114,3421
115,3480
116,3539
117,3599
118,3659
119,3720
120,3781
121,3843
122,3905
123,3968
124,4031
125,4095
126,4159
127,4224
128,4289
129,4355
130,4421
131,4488
132,4555
133,4623
134,4691
135,4760
136,4829
137,4899
138,4969
139,5040
140,5111
141,5183
142,5255
143,5328
144,5401
145,5475
146,5549
147,5624
148,5699
149,5775
150,5851
151,5928
152,6005
153,6083
154,6161
155,6240
156,6319
157,6399
158,6479
159,6560
160,6641
161,6723
162,6805
163,6888
164,6971
165,7055
166,7139
167,7224
168,7309
169,7395
170,7481
171,7568
172,7655
173,7743
174,7831
175,7920
176,8009
177,8099
178,8189
179,8280
180,8371
181,8463
182,8555
183,8648
184,8741
185,8835
186,8929
187,9024
188,9119
189,9215
190,9311
191,9408
192,9505
193,9603
194,9701
195,9800
196,9899
197,9999
198,10099
