depth,states
0,1
1,3
2,5
3,7
4,9
5,12
6,15
7,18
8,21
9,24
10,27
11,30
12,33
13,36
14,39
15,42
16,45
17,48
18,51
19,54
20,57
21,60
22,63
23,66
24,69
25,72
26,75
27,78
28,81
29,84
30,87
31,90
32,93
33,96
34,99
35,102
36,105
37,108
38,111
39,114
40,117
41,120
42,123
43,126
44,129
45,132
46,135
47,138
48,141
49,144
50,147
51,150
52,153
53,156
54,159
55,162
56,165
57,170
58,175
59,180
60,185
61,193
62,201
63,209
64,217
65,228
66,239
67,250
68,261
69,275
70,289
71,303
72,317
73,334
74,351
75,368
76,385
77,405
78,425
79,445
80,465
81,488
82,511
83,534
84,557
85,583
86,609
87,635
88,661
89,690
90,719
91,748
92,777
93,809
94,841
95,873
96,905
97,940
98,975
99,1010
100,1045
101,1083
102,1121
103,1159
104,1197
105,1238
106,1279
107,1320
108,1361
109,1405
110,1449
111,1493
112,1537
113,1584
114,1631
115,1678
116,1725
117,1775
118,1825
119,1875
120,1925
121,1978
122,2031
123,2084
124,2137
125,2193
126,2249
127,2305
128,2361
129,2420
130,2479
131,2538
132,2597
133,2659
134,2721
135,2783
136,2845
137,2910
138,2975
139,3040
140,3105
141,3173
142,3241
143,3309
144,3377
145,3448
146,3519
147,3590
148,3661
149,3735
150,3809
151,3883
152,3957
153,4034
154,4111
155,4188
156,4265
157,4345
158,4425
159,4505
160,4585
161,4668
162,4751
163,4834
164,4917
165,5003
166,5089
167,5175
168,5261
169,5350
170,5439
171,5528
172,5617
173,5709
174,5801
175,5893
176,5985
177,6080
178,6175
179,6270
180,6365
181,6463
182,6561
183,6659
184,6757
185,6858
186,6959
187,7060
188,7161
189,7265
190,7369
191,7473
192,7577
193,7750
194,7923
195,8096
196,8269
197,8447
198,8625
199,8803
200,8981
201,9162
202,9343
203,9524
204,9705
205,9889
206,10073
