depth,states
0,1
1,7
2,13
3,19
4,25
5,37
6,49
7,61
8,73
9,97
10,121
11,145
12,169
13,199
14,229
15,259
16,289
17,325
18,361
19,397
20,433
21,475
22,517
23,559
24,601
25,667
26,733
27,799
28,865
29,937
30,1009
31,1081
32,1153
33,1231
34,1309
35,1387
36,1465
37,1549
38,1633
39,1717
40,1801
41,1921
42,2041
43,2161
44,2281
45,2407
46,2533
47,2659
48,2785
49,2917
50,3049
51,3181
52,3313
53,3451
54,3589
55,3727
56,3865
57,4051
58,4237
59,4423
60,4609
61,4801
62,4993
63,5185
64,5377
65,5587
66,5797
67,6007
68,6217
69,6433
70,6649
71,6865
72,7081
73,7363
74,7645
75,7927
76,8209
77,8497
78,8785
79,9073
80,9361
81,9697
82,10033
