depth,states
0,1
1,2
2,3
3,5
4,7
5,9
6,11
7,14
8,17
9,20
10,23
11,28
12,33
13,38
14,43
15,49
16,55
17,60
18,65
19,71
20,77
21,82
22,87
23,93
24,99
25,104
26,109
27,115
28,121
29,126
30,131
31,137
32,143
33,148
34,153
35,159
36,165
37,170
38,175
39,181
40,187
41,193
42,199
43,207
44,215
45,223
46,231
47,242
48,253
49,264
50,275
51,289
52,303
53,317
54,331
55,348
56,365
57,382
58,399
59,419
60,439
61,459
62,479
63,502
64,525
65,548
66,571
67,597
68,623
69,649
70,675
71,704
72,733
73,762
74,791
75,823
76,855
77,887
78,919
79,954
80,989
81,1024
82,1059
83,1097
84,1135
85,1173
86,1211
87,1252
88,1293
89,1334
90,1375
91,1419
92,1463
93,1507
94,1551
95,1598
96,1645
97,1692
98,1739
99,1789
100,1839
101,1889
102,1939
103,1992
104,2045
105,2098
106,2151
107,2207
108,2263
109,2319
110,2375
111,2434
112,2493
113,2552
114,2611
115,2673
116,2735
117,2797
118,2859
119,2924
120,2989
121,3054
122,3119
123,3187
124,3255
125,3323
126,3391
127,3462
128,3533
129,3604
130,3675
131,3749
132,3823
133,3897
134,3971
135,4048
136,4125
137,4202
138,4279
139,4359
140,4439
141,4519
142,4599
143,4682
144,4765
145,4848
146,4931
147,5017
148,5103
149,5189
150,5275
151,5364
152,5453
153,5542
154,5631
155,5723
156,5815
157,5907
158,5999
159,6094
160,6189
161,6284
162,6379
163,6477
164,6575
165,6673
166,6771
167,6872
168,6973
169,7074
170,7175
171,7279
172,7383
173,7487
174,7591
175,7698
176,7805
177,7912
178,8019
179,8129
180,8239
181,8349
182,8459
183,8572
184,8685
185,8798
186,8911
187,9027
188,9143
189,9259
190,9375
191,9494
192,9613
193,9732
194,9851
195,9973
196,10095
