depth,states
0,1
1,4
2,9
3,17
4,28
5,42
6,59
7,79
8,102
9,128
10,157
11,189
12,224
13,262
14,303
15,347
16,394
17,444
18,497
19,553
20,612
21,674
22,739
23,807
24,878
25,952
26,1029
27,1109
28,1192
29,1278
30,1367
31,1459
32,1554
33,1652
34,1753
35,1857
36,1964
37,2074
38,2187
39,2303
40,2422
41,2544
42,2669
43,2797
44,2928
45,3062
46,3199
47,3339
48,3482
49,3628
50,3777
51,3929
52,4084
53,4242
54,4403
55,4567
56,4734
57,4904
58,5077
59,5253
60,5432
61,5614
62,5799
63,5987
64,6178
65,6372
66,6569
67,6769
68,6972
69,7178
70,7387
71,7599
72,7814
73,8032
74,8253
75,8477
76,8704
77,8934
78,9167
79,9403
80,9642
81,9884
82,10136
