depth,states
0,1
1,19
2,46
3,73
4,100
5,127
6,154
7,181
8,208
9,235
10,262
11,289
12,316
13,343
14,370
15,397
16,424
17,451
18,478
19,505
20,532
21,559
22,586
23,613
24,640
25,667
26,694
27,721
28,748
29,775
30,802
31,829
32,856
33,883
34,910
35,937
36,964
37,991
38,1018
39,1045
40,1072
41,1099
42,1126
43,1153
44,1180
45,1207
46,1234
47,1261
48,1288
49,1315
50,1342
51,1369
52,1396
53,1423
54,1450
55,1477
56,1504
57,1531
58,1558
59,1585
60,1612
61,1639
62,1666
63,1693
64,1720
65,1744
66,1830
67,2006
68,2270
69,2654
70,3342
71,4270
72,5382
73,6710
74,8582
75,10838
