depth,states
0,1
1,7
2,13
3,19
4,25
5,31
6,37
7,43
8,49
9,55
10,61
11,67
12,73
13,79
14,85
15,91
16,97
17,103
18,109
19,115
20,121
21,127
22,133
23,139
24,145
25,151
26,157
27,163
28,169
29,175
30,181
31,187
32,193
33,199
34,205
35,211
36,217
37,223
38,229
39,235
40,241
41,247
42,253
43,259
44,265
45,271
46,277
47,283
48,289
49,295
50,301
51,307
52,313
53,319
54,325
55,331
56,337
57,343
58,349
59,355
60,361
61,367
62,373
63,379
64,385
65,391
66,397
67,403
68,409
69,415
70,421
71,427
72,433
73,439
74,445
75,451
76,457
77,463
78,469
79,475
80,481
81,487
82,493
83,499
84,505
85,511
86,517
87,523
88,529
89,535
90,541
91,547
92,553
93,559
94,565
95,571
96,577
97,583
98,589
99,595
100,601
101,607
102,613
103,619
104,625
105,631
106,637
107,643
108,649
109,655
110,661
111,667
112,673
113,679
114,685
115,691
116,697
117,703
118,709
119,715
120,721
121,727
122,733
123,739
124,745
125,751
126,757
127,763
128,769
129,775
130,781
131,787
132,793
133,799
134,805
135,811
136,817
137,823
138,829
139,835
140,841
141,847
142,853
143,859
144,865
145,871
146,877
147,883
148,889
149,895
150,901
151,907
152,913
153,919
154,925
155,931
156,937
157,943
158,949
159,955
160,961
161,967
162,973
163,979
164,985
165,991
166,997
167,1003
168,1009
169,1015
170,1021
171,1027
172,1033
173,1039
174,1045
175,1051
176,1057
177,1063
178,1069
179,1075
180,1081
181,1087
182,1093
183,1099
184,1105
185,1111
186,1117
187,1123
188,1129
189,1135
190,1141
191,1147
192,1153
193,1159
194,1165
195,1171
196,1177
197,1183
198,1189
199,1195
200,1201
201,1207
202,1213
203,1219
204,1225
205,1231
206,1237
207,1243
208,1249
209,1255
210,1261
211,1267
212,1273
213,1279
214,1285
215,1291
216,1297
217,1303
218,1309
219,1315
220,1321
221,1327
222,1333
223,1339
224,1345
225,1351
226,1357
227,1363
228,1369
229,1375
230,1381
231,1387
232,1393
233,1399
234,1405
235,1411
236,1417
237,1423
238,1429
239,1435
240,1441
241,1447
242,1453
243,1459
244,1465
245,1471
246,1477
247,1483
248,1489
249,1495
250,1501
251,1507
252,1513
253,1519
254,1525
255,1531
256,1537
257,1543
258,1549
259,1555
260,1561
261,1567
262,1573
263,1579
264,1585
265,1591
266,1597
267,1603
268,1609
269,1615
270,1621
271,1627
272,1633
273,1639
274,1645
275,1651
276,1657
277,1663
278,1669
279,1675
280,1681
281,1687
282,1693
283,1699
284,1705
285,1711
286,1717
287,1723
288,1729
289,1735
290,1741
291,1747
292,1753
293,1759
294,1765
295,1771
296,1777
297,1783
298,1789
299,1795
300,1801
301,1807
302,1813
303,1819
304,1825
305,1831
306,1837
307,1843
308,1849
309,1855
310,1861
311,1867
312,1873
313,1879
314,1885
315,1891
316,1897
317,1903
318,1909
319,1915
320,1921
321,1927
322,1933
323,1939
324,1945
325,1951
326,1957
327,1963
328,1969
329,1975
330,1981
331,1987
332,1993
333,1999
334,2005
335,2011
336,2017
337,2023
338,2029
339,2035
340,2041
341,2047
342,2053
343,2059
344,2065
345,2071
346,2077
347,2083
348,2089
349,2095
350,2101
351,2107
352,2113
353,2119
354,2125
355,2131
356,2137
357,2143
358,2149
359,2155
360,2161
361,2167
362,2173
363,2179
364,2185
365,2191
366,2197
367,2203
368,2209
369,2215
370,2221
371,2227
372,2233
373,2239
374,2245
375,2251
376,2257
377,2263
378,2269
379,2275
380,2281
381,2287
382,2293
383,2299
384,2305
385,2311
386,2317
387,2323
388,2329
389,2335
390,2341
391,2347
392,2353
393,2359
394,2365
395,2371
396,2377
397,2383
398,2389
399,2395
400,2401
401,2407
402,2413
403,2419
404,2425
405,2431
406,2437
407,2443
408,2449
409,2455
410,2461
411,2467
412,2473
413,2479
414,2485
415,2491
416,2497
417,2503
418,2509
419,2515
420,2521
421,2527
422,2533
423,2539
424,2545
425,2551
426,2557
427,2563
428,2569
429,2575
430,2581
431,2587
432,2593
433,2599
434,2605
435,2611
436,2617
437,2623
438,2629
439,2635
440,2641
441,2647
442,2653
443,2659
444,2665
445,2671
446,2677
447,2683
448,2689
449,2695
450,2701
451,2707
452,2713
453,2719
454,2725
455,2731
456,2737
457,2743
458,2749
459,2755
460,2761
461,2767
462,2773
463,2779
464,2785
465,2791
466,2797
467,2803
468,2809
469,2815
470,2821
471,2827
472,2833
473,2839
474,2845
475,2851
476,2857
477,2863
478,2869
479,2875
480,2881
481,2887
482,2893
483,2899
484,2905
485,2911
486,2917
487,2923
488,2929
489,2935
490,2941
491,2947
492,2953
493,2959
494,2965
495,2971
496,2977
497,2983
498,2989
499,2995
500,3001
501,3007
502,3013
503,3019
504,3025
505,3031
506,3037
507,3043
508,3049
509,3055
510,3061
511,3067
512,3073
513,3079
514,3085
515,3091
516,3097
517,3103
518,3109
519,3115
520,3121
521,3127
522,3133
523,3139
524,3145
525,3151
526,3157
527,3163
528,3169
529,3175
530,3181
531,3187
532,3193
533,3199
534,3205
535,3211
536,3217
537,3223
538,3229
539,3235
540,3241
541,3247
542,3253
543,3259
544,3265
545,3271
546,3277
547,3283
548,3289
549,3295
550,3301
551,3307
552,3313
553,3319
554,3325
555,3331
556,3337
557,3343
558,3349
559,3355
560,3361
561,3367
562,3373
563,3379
564,3385
565,3391
566,3397
567,3403
568,3409
569,3415
570,3421
571,3427
572,3433
573,3439
574,3445
575,3451
576,3457
577,3463
578,3499
579,3529
580,3559
581,3589
582,3685
583,3781
584,3877
585,3973
586,4321
587,4567
588,4813
589,5059
590,5677
591,6271
592,6865
593,7423
594,9043
595,10189
