depth,states
0,1
1,3
2,5
3,7
4,9
5,11
6,13
7,15
8,17
9,19
10,21
11,23
12,25
13,27
14,29
15,31
16,33
17,35
18,37
19,39
20,41
21,43
22,45
23,47
24,49
25,51
26,53
27,55
28,57
29,59
30,61
31,63
32,65
33,67
34,69
35,71
36,73
37,75
38,77
39,79
40,81
41,83
42,85
43,87
44,89
45,91
46,93
47,95
48,97
49,99
50,101
51,103
52,105
53,107
54,109
55,111
56,113
57,115
58,117
59,119
60,121
61,123
62,125
63,127
64,129
65,131
66,133
67,135
68,137
69,139
70,141
71,143
72,145
73,147
74,149
75,151
76,153
77,155
78,157
79,159
80,161
81,163
82,165
83,167
84,169
85,171
86,173
87,175
88,177
89,179
90,181
91,183
92,185
93,187
94,189
95,191
96,193
97,195
98,197
99,199
100,201
101,203
102,205
103,207
104,209
105,211
106,213
107,215
108,217
109,219
110,221
111,223
112,225
113,227
114,229
115,231
116,233
117,235
118,237
119,239
120,241
121,243
122,245
123,247
124,249
125,251
126,253
127,255
128,257
129,260
130,263
131,266
132,269
133,272
134,275
135,278
136,281
137,284
138,287
139,290
140,293
141,296
142,299
143,302
144,305
145,308
146,311
147,314
148,317
149,320
150,323
151,326
152,329
153,332
154,335
155,338
156,341
157,344
158,347
159,350
160,353
161,356
162,359
163,362
164,365
165,368
166,371
167,374
168,377
169,380
170,383
171,386
172,389
173,392
174,395
175,398
176,401
177,404
178,407
179,410
180,413
181,416
182,419
183,422
184,425
185,428
186,431
187,434
188,437
189,440
190,443
191,446
192,449
193,452
194,455
195,458
196,461
197,464
198,467
199,470
200,473
201,476
202,479
203,482
204,485
205,488
206,491
207,494
208,497
209,500
210,503
211,506
212,509
213,512
214,515
215,518
216,521
217,524
218,527
219,530
220,533
221,536
222,539
223,542
224,545
225,548
226,551
227,554
228,557
229,560
230,563
231,566
232,569
233,572
234,575
235,578
236,581
237,584
238,587
239,590
240,593
241,596
242,599
243,602
244,605
245,608
246,611
247,614
248,617
249,620
250,623
251,626
252,629
253,632
254,635
255,638
256,641
257,644
258,647
259,650
260,653
261,656
262,659
263,662
264,665
265,668
266,671
267,674
268,677
269,680
270,683
271,686
272,689
273,692
274,695
275,698
276,701
277,704
278,707
279,710
280,713
281,716
282,719
283,722
284,725
285,728
286,731
287,734
288,737
289,740
290,743
291,746
292,749
293,752
294,755
295,758
296,761
297,764
298,767
299,770
300,773
301,776
302,779
303,782
304,785
305,788
306,791
307,794
308,797
309,800
310,803
311,806
312,809
313,812
314,815
315,818
316,821
317,824
318,827
319,830
320,833
321,836
322,839
323,842
324,845
325,848
326,851
327,854
328,857
329,860
330,863
331,866
332,869
333,872
334,875
335,878
336,881
337,884
338,887
339,890
340,893
341,896
342,899
343,902
344,905
345,908
346,911
347,914
348,917
349,920
350,923
351,926
352,929
353,932
354,935
355,938
356,941
357,944
358,947
359,950
360,953
361,956
362,959
363,962
364,965
365,968
366,971
367,974
368,977
369,980
370,983
371,986
372,989
373,992
374,995
375,998
376,1001
377,1004
378,1007
379,1010
380,1013
381,1016
382,1019
383,1022
384,1025
385,1029
386,1037
387,1049
388,1065
389,1089
390,1133
391,1213
392,1361
393,1632
394,2161
395,3091
396,4661
397,7278
398,11393
