depth,states
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,20
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,29
29,30
30,31
31,32
32,33
33,34
34,35
35,36
36,37
37,38
38,39
39,40
40,41
41,42
42,43
43,44
44,45
45,46
46,47
47,48
48,49
49,50
50,51
51,52
52,53
53,54
54,55
55,56
56,57
57,58
58,59
59,60
60,61
61,62
62,63
63,64
64,65
65,66
66,67
67,68
68,69
69,70
70,71
71,72
72,73
73,74
74,75
75,76
76,77
77,78
78,79
79,80
80,81
81,82
82,83
83,84
84,85
85,86
86,87
87,88
88,89
89,90
90,91
91,92
92,93
93,94
94,95
95,96
96,97
97,98
98,99
99,100
100,101
101,102
102,103
103,104
104,105
105,106
106,107
107,108
108,109
109,110
110,111
111,112
112,113
113,114
114,115
115,116
116,117
117,118
118,119
119,120
120,121
121,122
122,123
123,124
124,125
125,126
126,127
127,128
128,129
129,130
130,131
131,132
132,133
133,134
134,135
135,136
136,137
137,138
138,139
139,140
140,141
141,142
142,143
143,144
144,145
145,146
146,147
147,148
148,149
149,150
150,151
151,152
152,157
153,162
154,167
155,172
156,177
157,186
158,195
159,204
160,213
161,222
162,235
163,248
164,261
165,274
166,287
167,304
168,321
169,338
170,355
171,372
172,393
173,414
174,435
175,456
176,477
177,502
178,527
179,552
180,577
181,602
182,639
183,676
184,713
185,750
186,787
187,836
188,885
189,934
190,983
191,1032
192,1093
193,1154
194,1215
195,1276
196,1337
197,1410
198,1483
199,1556
200,1629
201,1702
202,1787
203,1872
204,1957
205,2042
206,2127
207,2224
208,2321
209,2418
210,2515
211,2612
212,2745
213,2878
214,3011
215,3144
216,3277
217,3446
218,3615
219,3784
220,3953
221,4122
222,4327
223,4532
224,4737
225,4942
226,5147
227,5388
228,5629
229,5870
230,6111
231,6352
232,6629
233,6906
234,7183
235,7460
236,7737
237,8050
238,8363
239,8676
240,8989
241,9302
242,9723
243,10144
