depth,states
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,20
20,21
21,22
22,23
23,25
24,28
25,33
26,39
27,46
28,53
29,67
30,89
31,126
32,172
33,225
34,286
35,348
36,410
37,472
38,534
39,596
40,658
41,720
42,782
43,844
44,906
45,991
46,1104
47,1253
48,1423
49,1607
50,1811
51,2014
52,2217
53,2420
54,2623
55,2826
56,3029
57,3232
58,3435
59,3638
60,3841
61,4070
62,4334
63,4630
64,4945
65,5256
66,5586
67,5916
68,6246
69,6576
70,6906
71,7236
72,7566
73,7896
74,8226
75,8556
76,8886
77,9243
78,9634
79,10052
