depth,states
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,20
20,21
21,22
22,23
23,25
24,29
25,34
26,40
27,47
28,54
29,69
30,90
31,127
32,173
33,227
34,289
35,352
36,415
37,478
38,541
39,604
40,667
41,730
42,793
43,856
44,919
45,1010
46,1107
47,1244
48,1408
49,1593
50,1798
51,2008
52,2218
53,2428
54,2638
55,2848
56,3058
57,3268
58,3478
59,3688
60,3898
61,4154
62,4391
63,4661
64,4960
65,5279
66,5617
67,5958
68,6301
69,6644
70,6987
71,7330
72,7673
73,8016
74,8359
75,8702
76,9045
77,9448
78,9811
79,10208
