depth,states
0,1
1,3
2,6
3,10
4,14
5,18
6,22
7,26
8,30
9,34
10,38
11,42
12,46
13,50
14,54
15,58
16,62
17,66
18,70
19,74
20,78
21,82
22,86
23,90
24,94
25,103
26,121
27,141
28,163
29,187
30,213
31,241
32,271
33,303
34,337
35,373
36,411
37,451
38,493
39,537
40,583
41,631
42,681
43,733
44,787
45,843
46,901
47,961
48,1023
49,1087
50,1153
51,1221
52,1291
53,1363
54,1437
55,1513
56,1591
57,1682
58,1787
59,1899
60,2018
61,2142
62,2270
63,2402
64,2538
65,2678
66,2822
67,2970
68,3122
69,3278
70,3438
71,3602
72,3770
73,3942
74,4118
75,4298
76,4482
77,4670
78,4862
79,5057
80,5255
81,5456
82,5660
83,5867
84,6077
85,6290
86,6506
87,6725
88,6947
89,7189
90,7455
91,7728
92,8008
93,8295
94,8589
95,8889
96,9195
97,9507
98,9825
99,10149
