depth,states
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,20
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,29
29,30
30,31
31,32
32,42
33,61
34,88
35,123
36,166
37,217
38,276
39,343
40,418
41,501
42,592
43,691
44,798
45,913
46,1036
47,1167
48,1306
49,1453
50,1608
51,1771
52,1942
53,2121
54,2308
55,2503
56,2706
57,2917
58,3136
59,3363
60,3598
61,3841
62,4092
63,4351
64,4618
65,4910
66,5227
67,5561
68,5912
69,6280
70,6665
71,7067
72,7486
73,7922
74,8375
75,8845
76,9332
77,9836
78,10357
