depth,states
0,1
1,3
2,8
3,19
4,45
5,104
6,214
7,393
8,659
9,1030
10,1524
11,2159
12,2953
13,3924
14,5090
15,6469
16,8079
17,9938
18,12064
19,14475
20,17189
21,20224
22,23598
23,27329
24,31435
25,35934
26,40844
27,46183
28,51969
29,58220
30,64954
31,72189
32,79943
33,88234
34,97080
35,106499
36,116509
37,127221
38,138946
39,151705
40,165528
41,180445
42,196486
43,213681
44,232060
45,251653
46,272490
47,294601
48,318016
49,342765
50,368761
51,396210
52,425142
53,455468
54,487196
55,520001
56,553885
57,588850
58,624729
59,661504
60,699157
61,737670
62,777025
63,817204
64,858189
65,899962
66,942505
67,985800
68,1029829
