depth,states
0,1
1,3
2,5
3,8
4,11
5,15
6,19
7,24
8,29
9,35
10,41
11,48
12,55
13,63
14,71
15,80
16,89
17,99
18,109
19,120
20,131
21,143
22,155
23,168
24,181
25,195
26,209
27,224
28,239
29,255
30,271
31,288
32,305
33,323
34,341
35,360
36,379
37,399
38,419
39,440
40,461
41,483
42,505
43,528
44,551
45,575
46,599
47,624
48,649
49,675
50,701
51,728
52,755
53,783
54,811
55,840
56,869
57,899
58,929
59,960
60,991
61,1023
62,1055
63,1088
64,1121
65,1155
66,1189
67,1224
68,1259
69,1295
70,1331
71,1368
72,1405
73,1443
74,1481
75,1520
76,1559
77,1599
78,1639
79,1680
80,1721
81,1763
82,1805
83,1848
84,1891
85,1935
86,1979
87,2024
88,2069
89,2115
90,2161
91,2208
92,2255
93,2303
94,2351
95,2400
96,2449
97,2499
98,2549
99,2600
100,2651
101,2703
102,2755
103,2808
104,2861
105,2915
106,2969
107,3024
108,3079
109,3135
110,3191
111,3248
112,3305
113,3363
114,3421
115,3480
116,3539
117,3599
118,3659
119,3720
120,3781
121,3843
122,3905
123,3968
124,4031
125,4095
126,4159
127,4224
128,4289
129,4355
130,4421
131,4488
132,4555
133,4623
134,4691
135,4760
136,4829
137,4899
138,4969
139,5040
140,5111
141,5183
142,5255
143,5328
144,5401
145,5475
146,5549
147,5624
148,5699
149,5775
150,5851
151,5928
152,6005
153,6083
154,6161
155,6240
156,6319
157,6399
158,6479
159,6560
160,6641
161,6723
162,6805
163,6888
164,6971
165,7055
166,7139
167,7224
168,7309
169,7395
170,7481
171,7568
172,7655
173,7743
174,7831
175,7920
176,8009
177,8099
178,8189
179,8280
180,8371
181,8463
182,8555
183,8648
184,8741
185,8835
186,8929
187,9024
188,9119
189,9215
190,9311
191,9408
192,9505
193,9603
194,9701
195,9800
196,9899
197,9999
198,10099
199,10200
200,10301
201,10403
202,10505
203,10608
204,10711
205,10815
206,10919
207,11024
208,11129
209,11235
210,11341
211,11448
212,11555
213,11663
214,11771
215,11880
216,11989
217,12099
218,12209
219,12320
220,12431
221,12543
222,12655
223,12768
224,12881
225,12995
226,13109
227,13224
228,13339
229,13455
230,13571
231,13688
232,13805
233,13923
234,14041
235,14160
236,14279
237,14399
238,14519
239,14640
240,14763
241,14887
242,15015
243,15144
244,15283
245,15423
246,15583
247,15744
248,15939
249,16135
250,16391
251,16648
252,17007
253,17367
254,17887
255,18408
256,19175
257,19943
258,21067
259,22192
260,23807
261,25423
262,27697
263,29972
264,33101
265,36231
266,40443
267,44656
268,50225
269,55795
270,63031
271,70268
272,79517
273,88767
274,100415
275,112054
276,126509
277,140935
278,158629
279,176264
280,197665
281,218967
282,244575
283,270034
284,300381
285,330519
286,366171
287,401544
288,443105
289,484297
290,532399
291,580022
292,635353
293,690075
294,753379
295,815924
296,888001
297,959149
298,1040847
