depth,states
0,1
1,3
2,5
3,7
4,9
5,12
6,15
7,18
8,21
9,24
10,27
11,30
12,33
13,36
14,39
15,42
16,45
17,48
18,51
19,54
20,57
21,60
22,63
23,66
24,69
25,72
26,75
27,78
28,81
29,84
30,87
31,90
32,93
33,96
34,99
35,102
36,105
37,108
38,111
39,114
40,117
41,120
42,123
43,126
44,129
45,132
46,135
47,138
48,141
49,144
50,147
51,150
52,153
53,156
54,159
55,162
56,165
57,170
58,175
59,180
60,185
61,193
62,201
63,209
64,217
65,228
66,239
67,250
68,261
69,275
70,289
71,303
72,317
73,334
74,351
75,368
76,385
77,405
78,425
79,445
80,465
81,488
82,511
83,534
84,557
85,583
86,609
87,635
88,661
89,690
90,719
91,748
92,777
93,809
94,841
95,873
96,905
97,940
98,975
99,1010
100,1045
101,1083
102,1121
103,1159
104,1197
105,1238
106,1279
107,1320
108,1361
109,1405
110,1449
111,1493
112,1537
113,1584
114,1631
115,1678
116,1725
117,1775
118,1825
119,1875
120,1925
121,1978
122,2031
123,2084
124,2137
125,2193
126,2249
127,2305
128,2361
129,2420
130,2479
131,2538
132,2597
133,2659
134,2721
135,2783
136,2845
137,2910
138,2975
139,3040
140,3105
141,3173
142,3241
143,3309
144,3377
145,3448
146,3519
147,3590
148,3661
149,3735
150,3809
151,3883
152,3957
153,4034
154,4111
155,4188
156,4265
157,4345
158,4425
159,4505
160,4585
161,4668
162,4751
163,4834
164,4917
165,5003
166,5089
167,5175
168,5261
169,5350
170,5439
171,5528
172,5617
173,5709
174,5801
175,5893
176,5985
177,6080
178,6175
179,6270
180,6365
181,6463
182,6561
183,6659
184,6757
185,6858
186,6959
187,7060
188,7161
189,7265
190,7369
191,7473
192,7577
193,7750
194,7923
195,8096
196,8269
197,8447
198,8625
199,8803
200,8981
201,9162
202,9343
203,9524
204,9705
205,9889
206,10073
207,10257
208,10441
209,10628
210,10815
211,11002
212,11189
213,11379
214,11569
215,11759
216,11949
217,12144
218,12339
219,12534
220,12729
221,12928
222,13126
223,13324
224,13522
225,13724
226,13925
227,14126
228,14327
229,14532
230,14736
231,14940
232,15144
233,15352
234,15559
235,15766
236,15973
237,16184
238,16394
239,16604
240,16814
241,17036
242,17257
243,17478
244,17699
245,17928
246,18152
247,18376
248,18600
249,18832
250,19059
251,19286
252,19513
253,19750
254,19982
255,20214
256,20446
257,20686
258,20920
259,21154
260,21388
261,21632
262,21869
263,22106
264,22343
265,22590
266,22831
267,23072
268,23313
269,23573
270,23827
271,24081
272,24335
273,24605
274,24865
275,25125
276,25385
277,25661
278,25927
279,26193
280,26459
281,26741
282,27013
283,27285
284,27557
285,27845
286,28123
287,28401
288,28679
289,28975
290,29261
291,29547
292,29833
293,30136
294,30432
295,30728
296,31024
297,31345
298,31659
299,31973
300,32284
301,32622
302,32951
303,33280
304,33609
305,33965
306,34314
307,34663
308,35012
309,35394
310,35769
311,36144
312,36519
313,36927
314,37326
315,37725
316,38124
317,38558
318,38985
319,39412
320,39839
321,40302
322,40759
323,41216
324,41673
325,42178
326,42677
327,43176
328,43672
329,44214
330,44746
331,45278
332,45810
333,46388
334,46957
335,47526
336,48095
337,48711
338,49318
339,49925
340,50532
341,51187
342,51833
343,52479
344,53125
345,53819
346,54505
347,55191
348,55877
349,56616
350,57348
351,58080
352,58812
353,59601
354,60381
355,61161
356,61941
357,62777
358,63604
359,64431
360,65258
361,66145
362,67023
363,67901
364,68779
365,69718
366,70648
367,71578
368,72508
369,73500
370,74486
371,75472
372,76458
373,77512
374,78561
375,79610
376,80659
377,81781
378,82897
379,84013
380,85129
381,86320
382,87504
383,88688
384,89872
385,91132
386,92384
387,93636
388,94888
389,96217
390,97537
391,98857
392,100177
393,101575
394,102965
395,104355
396,105745
397,107220
398,108688
399,110156
400,111624
401,113182
402,114732
403,116282
404,117832
405,119478
406,121117
407,122756
408,124395
409,126129
410,127854
411,129579
412,131304
413,133127
414,134941
415,136755
416,138569
417,140482
418,142385
419,144288
420,146191
421,148194
422,150188
423,152182
424,154176
425,156271
426,158357
427,160443
428,162529
429,164723
430,166909
431,169095
432,171281
433,173577
434,175863
435,178149
436,180435
437,182835
438,185227
439,187619
440,190011
441,192532
442,195045
443,197558
444,200071
445,202719
446,205357
447,207995
448,210633
449,214967
450,219287
451,223607
452,227927
453,232489
454,237041
455,241593
456,246145
457,250880
458,255601
459,260322
460,265043
461,269954
462,274854
463,279754
464,284654
465,289761
466,294852
467,299943
468,305034
469,310344
470,315632
471,320920
472,326208
473,331729
474,337232
475,342735
476,348238
477,353991
478,359723
479,365455
480,371187
481,377188
482,383178
483,389168
484,395158
485,401439
486,407709
487,413979
488,420249
489,426832
490,433401
491,439970
492,446539
493,453442
494,460336
495,467230
496,474124
497,481375
498,488604
499,495833
500,503062
501,510670
502,518249
503,525828
504,533407
505,541361
506,549295
507,557229
508,565163
509,573504
510,581836
511,590168
512,598500
513,607275
514,616035
515,624795
516,633555
517,642779
518,651990
519,661201
520,670412
521,680114
522,689797
523,699480
524,709163
525,719363
526,729552
527,739741
528,749930
529,760675
530,771400
531,782125
532,792850
533,804169
534,815429
535,826689
536,837949
537,849823
538,861660
539,873497
540,885334
541,897805
542,910256
543,922707
544,935158
545,948273
546,961346
547,974419
548,987492
549,1001248
