depth,states
0,1
1,7
2,13
3,19
4,25
5,37
6,49
7,61
8,73
9,97
10,121
11,145
12,169
13,199
14,229
15,259
16,289
17,325
18,361
19,397
20,433
21,475
22,517
23,559
24,601
25,667
26,733
27,799
28,865
29,937
30,1009
31,1081
32,1153
33,1231
34,1309
35,1387
36,1465
37,1549
38,1633
39,1717
40,1801
41,1921
42,2041
43,2161
44,2281
45,2407
46,2533
47,2659
48,2785
49,2917
50,3049
51,3181
52,3313
53,3451
54,3589
55,3727
56,3865
57,4051
58,4237
59,4423
60,4609
61,4801
62,4993
63,5185
64,5377
65,5587
66,5797
67,6007
68,6217
69,6433
70,6649
71,6865
72,7081
73,7363
74,7645
75,7927
76,8209
77,8497
78,8785
79,9073
80,9361
81,9697
82,10033
83,10369
84,10705
85,11047
86,11389
87,11731
88,12073
89,12523
90,12973
91,13423
92,13873
93,14329
94,14785
95,15241
96,15697
97,16252
98,16807
99,17362
100,17917
101,18478
102,19039
103,19600
104,20161
105,20890
106,21619
107,22348
108,23077
109,23812
110,24547
111,25282
112,26017
113,26914
114,27811
115,28708
116,29605
117,30502
118,31399
119,32296
120,33193
121,34324
122,35455
123,36586
124,37717
125,38848
126,39979
127,41110
128,42241
129,43624
130,45007
131,46390
132,47773
133,49156
134,50539
135,51922
136,53305
137,55012
138,56719
139,58426
140,60133
141,61840
142,63547
143,65254
144,66961
145,69031
146,71101
147,73171
148,75241
149,77311
150,79381
151,81451
152,83521
153,86023
154,88525
155,91027
156,93529
157,96031
158,98533
159,101035
160,103537
161,106531
162,109525
163,112519
164,115513
165,118507
166,121501
167,124495
168,127489
169,131041
170,134593
171,138145
172,141697
173,145249
174,148801
175,152353
176,155905
177,160084
178,164263
179,168442
180,172621
181,176800
182,180979
183,185158
184,189337
185,197979
186,206981
187,215983
188,224985
189,233985
190,242985
191,251985
192,260985
193,270619
194,280253
195,289887
196,299521
197,309153
198,318785
199,328417
200,338049
201,348440
202,358831
203,369222
204,379613
205,390002
206,400391
207,410780
208,421169
209,432294
210,443419
211,454544
212,465669
213,476792
214,487915
215,499038
216,510161
217,522125
218,534089
219,546053
220,558017
221,569979
222,581941
223,593903
224,605865
225,618647
226,631429
227,644211
228,656993
229,669773
230,682553
231,695297
232,708041
233,721696
234,735351
235,749006
236,762661
237,776314
238,789967
239,803483
240,816999
241,831395
242,845791
243,860187
244,874583
245,888977
246,903371
247,917746
248,932115
249,947441
250,962761
251,978081
252,993401
253,1008719
