depth,states
0,1
1,2
2,3
3,5
4,7
5,9
6,11
7,14
8,17
9,20
10,23
11,28
12,33
13,38
14,43
15,49
16,55
17,60
18,65
19,71
20,77
21,82
22,87
23,93
24,99
25,104
26,109
27,115
28,121
29,126
30,131
31,137
32,143
33,148
34,153
35,159
36,165
37,170
38,175
39,181
40,187
41,193
42,199
43,207
44,215
45,223
46,231
47,242
48,253
49,264
50,275
51,289
52,303
53,317
54,331
55,348
56,365
57,382
58,399
59,419
60,439
61,459
62,479
63,502
64,525
65,548
66,571
67,597
68,623
69,649
70,675
71,704
72,733
73,762
74,791
75,823
76,855
77,887
78,919
79,954
80,989
81,1024
82,1059
83,1097
84,1135
85,1173
86,1211
87,1252
88,1293
89,1334
90,1375
91,1419
92,1463
93,1507
94,1551
95,1598
96,1645
97,1692
98,1739
99,1789
100,1839
101,1889
102,1939
103,1992
104,2045
105,2098
106,2151
107,2207
108,2263
109,2319
110,2375
111,2434
112,2493
113,2552
114,2611
115,2673
116,2735
117,2797
118,2859
119,2924
120,2989
121,3054
122,3119
123,3187
124,3255
125,3323
126,3391
127,3462
128,3533
129,3604
130,3675
131,3749
132,3823
133,3897
134,3971
135,4048
136,4125
137,4202
138,4279
139,4359
140,4439
141,4519
142,4599
143,4682
144,4765
145,4848
146,4931
147,5017
148,5103
149,5189
150,5275
151,5364
152,5453
153,5542
154,5631
155,5723
156,5815
157,5907
158,5999
159,6094
160,6189
161,6284
162,6379
163,6477
164,6575
165,6673
166,6771
167,6872
168,6973
169,7074
170,7175
171,7279
172,7383
173,7487
174,7591
175,7698
176,7805
177,7912
178,8019
179,8129
180,8239
181,8349
182,8459
183,8572
184,8685
185,8798
186,8911
187,9027
188,9143
189,9259
190,9375
191,9494
192,9613
193,9732
194,9851
195,9973
196,10095
197,10217
198,10339
199,10466
200,10593
201,10720
202,10847
203,10980
204,11112
205,11244
206,11376
207,11513
208,11648
209,11783
210,11918
211,12062
212,12204
213,12346
214,12488
215,12639
216,12786
217,12933
218,13080
219,13235
220,13385
221,13535
222,13685
223,13845
224,14000
225,14155
226,14310
227,14478
228,14640
229,14802
230,14964
231,15137
232,15302
233,15467
234,15632
235,15812
236,15984
237,16156
238,16328
239,16515
240,16692
241,16869
242,17046
243,17239
244,17421
245,17603
246,17785
247,17984
248,18172
249,18360
250,18548
251,18753
252,18947
253,19141
254,19335
255,19550
256,19754
257,19958
258,20162
259,20389
260,20605
261,20821
262,21037
263,21278
264,21508
265,21738
266,21968
267,22226
268,22473
269,22720
270,22967
271,23243
272,23508
273,23773
274,24038
275,24336
276,24623
277,24910
278,25197
279,25517
280,25826
281,26135
282,26444
283,26789
284,27126
285,27463
286,27800
287,28180
288,28552
289,28924
290,29296
291,29715
292,30125
293,30535
294,30945
295,31405
296,31856
297,32307
298,32758
299,33262
300,33756
301,34250
302,34744
303,35293
304,35831
305,36369
306,36907
307,37499
308,38081
309,38663
310,39245
311,39887
312,40520
313,41153
314,41786
315,42480
316,43164
317,43848
318,44532
319,45281
320,46020
321,46759
322,47498
323,48302
324,49096
325,49890
326,50684
327,51548
328,52402
329,53256
330,54110
331,55035
332,55949
333,56863
334,57777
335,58762
336,59737
337,60712
338,61687
339,62740
340,63784
341,64828
342,65872
343,66997
344,68111
345,69225
346,70339
347,71536
348,72723
349,73910
350,75097
351,76370
352,77633
353,78896
354,80159
355,81512
356,82854
357,84196
358,85538
359,86969
360,88390
361,89811
362,91232
363,92750
364,94254
365,95758
366,97262
367,98867
368,100458
369,102049
370,103640
371,105334
372,107013
373,108692
374,110371
375,112155
376,113925
377,115695
378,117465
379,119345
380,121222
381,123099
382,124976
383,126981
384,128983
385,130985
386,132987
387,135104
388,137207
389,139310
390,141413
391,143639
392,145854
393,148069
394,150284
395,152627
396,154955
397,157283
398,159611
399,162070
400,164514
401,166958
402,169402
403,171980
404,174543
405,177106
406,179669
407,182369
408,185053
409,187737
410,190421
411,193246
412,196055
413,198864
414,201673
415,204627
416,207565
417,210503
418,213441
419,216538
420,219616
421,222693
422,225770
423,229021
424,232252
425,235483
426,238714
427,242132
428,245530
429,248928
430,252326
431,255925
432,259504
433,263083
434,266662
435,270453
436,274223
437,277993
438,281763
439,285759
440,289735
441,293711
442,297687
443,301911
444,306115
445,310319
446,314523
447,318996
448,323446
449,327896
450,332346
451,337090
452,341814
453,346538
454,351262
455,356306
456,361326
457,366345
458,371364
459,376739
460,382088
461,387436
462,392784
463,398524
464,404238
465,409952
466,415666
467,421803
468,427915
469,434027
470,440139
471,446694
472,453220
473,459739
474,466258
475,473272
476,480259
477,487246
478,494233
479,501753
480,509243
481,516733
482,524223
483,532296
484,540336
485,548376
486,556416
487,565059
488,573671
489,582283
490,590893
491,600169
492,609414
493,618653
494,627892
495,637869
496,647812
497,657751
498,667690
499,678393
500,689060
501,699727
502,710394
503,721876
504,733319
505,744762
506,756203
507,768516
508,780792
509,793068
510,805344
511,818540
512,831685
513,844829
514,857973
515,872102
516,886189
517,900274
518,914359
519,929497
520,944588
521,959679
522,974770
523,990957
524,1007091
