depth,states
0,1
1,10
2,65
3,125
4,185
5,245
6,494
7,764
8,1034
9,1304
10,2081
11,2921
12,3601
13,4281
14,6043
15,7943
16,9243
17,10543
18,13775
19,17255
20,19415
21,21575
22,26846
23,32516
24,35806
25,39096
26,46987
27,55467
28,60107
29,64747
30,75888
31,87858
32,94068
33,100278
34,115428
35,131818
36,140028
37,148238
38,168552
39,190912
40,201552
41,212192
42,239056
43,268466
44,282636
45,296806
46,333719
47,374219
48,394869
49,415469
50,471752
51,533402
52,567192
53,600852
54,698947
55,805787
56,867097
57,928307
58,1109632
