depth,states
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,20
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,29
29,39
30,49
31,69
32,89
33,119
34,149
35,190
36,231
37,283
38,335
39,398
40,461
41,535
42,609
43,702
44,795
45,920
46,1045
47,1210
48,1375
49,1588
50,1801
51,2065
52,2329
53,2647
54,2965
55,3340
56,3715
57,4150
58,4585
59,5086
60,5582
61,6122
62,6651
63,7235
64,7803
65,8432
66,9039
67,9713
68,10359
69,11078
70,11763
71,12527
72,13251
73,14060
74,14823
75,15694
76,16513
77,17514
78,18456
79,19604
80,20686
81,21998
82,23237
83,24715
84,26113
85,27759
86,29318
87,31134
88,32856
89,34844
90,36731
91,38959
92,41047
93,43470
94,45714
95,48346
96,50767
97,53615
98,56220
99,59291
100,62087
101,65388
102,68382
103,71920
104,75119
105,78933
106,82376
107,86524
108,90269
109,94886
110,99080
111,104186
112,108849
113,114471
114,119630
115,125773
116,131433
117,138078
118,144220
119,151364
120,157985
121,165619
122,172712
123,181005
124,188651
125,197546
126,205688
127,215218
128,223904
129,234102
130,243365
131,254264
132,264137
133,275770
134,286286
135,298689
136,309884
137,323176
138,335169
139,349611
140,362666
141,378319
142,392545
143,409389
144,424766
145,442817
146,459361
147,478623
148,496338
149,516748
150,535571
151,557117
152,577036
153,599782
154,620849
155,645095
156,667477
157,693245
158,716964
159,744312
160,769452
161,798467
162,825115
163,855884
164,884127
165,916681
166,946550
167,980966
168,1012538
