depth,states
0,1
1,4
2,9
3,17
4,28
5,42
6,59
7,79
8,102
9,128
10,157
11,189
12,224
13,262
14,303
15,347
16,394
17,444
18,497
19,553
20,612
21,674
22,739
23,807
24,878
25,952
26,1029
27,1109
28,1192
29,1278
30,1367
31,1459
32,1554
33,1652
34,1753
35,1857
36,1964
37,2074
38,2187
39,2303
40,2422
41,2544
42,2669
43,2797
44,2928
45,3062
46,3199
47,3339
48,3482
49,3628
50,3777
51,3929
52,4084
53,4242
54,4403
55,4567
56,4734
57,4904
58,5077
59,5253
60,5432
61,5614
62,5799
63,5987
64,6178
65,6372
66,6569
67,6769
68,6972
69,7178
70,7387
71,7599
72,7814
73,8032
74,8253
75,8477
76,8704
77,8934
78,9167
79,9403
80,9642
81,9884
82,10141
83,10409
84,10693
85,10993
86,11307
87,11637
88,11981
89,12338
90,12709
91,13092
92,13487
93,13893
94,14309
95,14740
96,15177
97,15623
98,16079
99,16544
100,17020
101,17512
102,18015
103,18539
104,19072
105,19626
106,20188
107,20763
108,21347
109,21946
110,22566
111,23202
112,23858
113,24533
114,25219
115,25920
116,26636
117,27368
118,28111
119,28869
120,29585
121,30308
122,31056
123,31796
124,32557
125,33341
126,34144
127,34970
128,35809
129,36664
130,37533
131,38419
132,39317
133,40229
134,41149
135,42065
136,42980
137,43907
138,44828
139,45761
140,46692
141,47642
142,48588
143,49548
144,50506
145,51478
146,52446
147,53427
148,54407
149,55404
150,56399
151,57411
152,58421
153,59452
154,60473
155,61508
156,62530
157,63558
158,64576
159,65562
160,66562
161,67580
162,68613
163,69650
164,70685
165,71735
166,72752
167,73777
168,74774
169,75780
170,76777
171,77772
172,78751
173,79741
174,80731
175,81723
176,82685
177,83657
178,84619
179,85584
180,86545
181,87519
182,88489
183,89472
184,90452
185,91447
186,92439
187,93451
188,94458
189,95480
190,96496
191,97526
192,98551
193,99591
194,100622
195,101665
196,102696
197,103743
198,104735
199,105747
200,106774
201,107818
202,108872
203,109920
204,110991
205,112098
206,113229
207,114396
208,115582
209,116807
210,118047
211,119319
212,120608
213,121933
214,123248
215,124585
216,125915
217,127264
218,128585
219,129905
220,131210
221,132518
222,133802
223,135065
224,136313
225,137576
226,138819
227,140082
228,141322
229,142576
230,143816
231,145061
232,146289
233,147532
234,148760
235,150007
236,151241
237,152485
238,153717
239,154956
240,156190
241,157452
242,158713
243,159984
244,161257
245,162547
246,163841
247,165148
248,166451
249,167764
250,169073
251,170386
252,171695
253,173015
254,174327
255,175643
256,177396
257,179205
258,181056
259,182959
260,184920
261,186948
262,189025
263,191186
264,193411
265,195707
266,198073
267,200519
268,203044
269,205650
270,208272
271,210965
272,213662
273,216484
274,219391
275,222401
276,225478
277,228664
278,231941
279,235352
280,238892
281,242555
282,246347
283,250273
