depth,states
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,20
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,29
29,30
30,31
31,32
32,33
33,34
34,35
35,36
36,37
37,38
38,39
39,40
40,41
41,42
42,43
43,44
44,45
45,46
46,47
47,48
48,49
49,50
50,51
51,52
52,53
53,54
54,55
55,56
56,57
57,58
58,59
59,60
60,61
61,62
62,63
63,69
64,88
65,117
66,177
67,261
68,402
69,589
70,867
71,1272
72,1844
73,2564
74,3501
75,4632
76,6038
77,7692
78,9687
79,12091
80,14976
81,18307
82,22201
83,26619
84,31690
85,37371
86,43803
87,51086
88,59324
89,68466
90,78824
91,90198
92,103169
93,117430
94,133800
95,152557
96,174297
97,198679
98,227508
99,259825
100,297947
101,340775
102,391070
103,449938
104,519237
105,598148
106,690143
107,793858
108,913216
109,1038195
