depth,states
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,20
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,29
29,30
30,31
31,32
32,33
33,34
34,35
35,36
36,37
37,38
38,39
39,40
40,41
41,42
42,43
43,44
44,45
45,46
46,47
47,48
48,49
49,50
50,51
51,52
52,53
53,54
54,55
55,56
56,57
57,58
58,59
59,60
60,61
61,62
62,63
63,64
64,65
65,66
66,67
67,68
68,69
69,70
70,71
71,72
72,73
73,74
74,75
75,76
76,77
77,78
78,79
79,80
80,81
81,82
82,83
83,84
84,85
85,86
86,87
87,88
88,89
89,90
90,91
91,92
92,93
93,94
94,95
95,96
96,97
97,98
98,99
99,100
100,101
101,102
102,103
103,104
104,105
105,106
106,107
107,108
108,109
109,110
110,111
111,112
112,113
113,114
114,115
115,116
116,117
117,118
118,119
119,120
120,121
121,122
122,123
123,124
124,125
125,126
126,127
127,128
128,129
129,130
130,131
131,132
132,133
133,134
134,135
135,136
136,137
137,138
138,139
139,140
140,141
141,142
142,143
143,144
144,145
145,146
146,147
147,148
148,149
149,150
150,151
151,152
152,153
153,154
154,155
155,156
156,157
157,158
158,159
159,160
160,161
161,162
162,163
163,164
164,165
165,166
166,167
167,168
168,169
169,170
170,171
171,172
172,173
173,174
174,175
175,176
176,177
177,178
178,179
179,180
180,181
181,182
182,183
183,184
184,185
185,186
186,187
187,188
188,189
189,190
190,191
191,192
192,193
193,194
194,195
195,196
196,197
197,198
198,199
199,200
200,201
201,202
202,203
203,204
204,205
205,206
206,207
207,208
208,209
209,210
210,211
211,212
212,213
213,214
214,215
215,216
216,217
217,218
218,219
219,220
220,221
221,222
222,223
223,224
224,225
225,226
226,227
227,228
228,229
229,230
230,231
231,232
232,233
233,234
234,235
235,236
236,237
237,238
238,239
239,240
240,246
241,270
242,310
243,370
244,454
245,566
246,710
247,890
248,1088
249,1304
250,1538
251,1790
252,2060
253,2348
254,2654
255,2978
256,3320
257,3680
258,4058
259,4454
260,4868
261,5300
262,5750
263,6218
264,6704
265,7208
266,7730
267,8270
268,8828
269,9404
270,9998
271,10610
272,11240
273,11888
274,12554
275,13238
276,13940
277,14660
278,15398
279,16154
280,16928
281,17720
282,18530
283,19358
284,20204
285,21068
286,21950
287,22850
288,23768
289,24704
290,25658
291,26630
292,27620
293,28628
294,29654
295,30698
296,31760
297,32840
298,33938
299,35054
300,36188
301,37340
302,38510
303,39698
304,40895
305,42092
306,43289
307,44486
308,45683
309,46880
310,48077
311,49274
312,50471
313,51668
314,52865
315,54062
316,55259
317,56456
318,57653
319,58850
320,60047
321,61244
322,62441
323,63638
324,64835
325,66032
326,67229
327,68426
328,69623
329,70820
330,72017
331,73214
332,74411
333,75608
334,76805
335,78002
336,79199
337,80396
338,81593
339,82790
340,83987
341,85184
342,86381
343,87578
344,88775
345,89972
346,91169
347,92366
348,93563
349,94760
350,95957
351,97154
352,98351
353,99548
354,100745
355,101942
356,103139
357,104336
358,105533
359,106730
360,107927
361,109124
362,110321
363,111518
364,112715
365,113912
366,115109
367,116306
368,117503
369,118700
370,119897
371,121094
372,122291
373,123488
374,124685
375,125882
376,127079
377,128276
378,129473
379,130670
380,131867
381,133064
382,134261
383,135458
384,136655
385,137852
386,139049
387,140246
388,141443
389,142640
390,143837
391,145034
392,146231
393,147428
394,148625
395,149822
396,151019
397,152216
398,153413
399,154610
400,155807
401,157004
402,158201
403,159398
404,160595
405,161792
406,162989
407,164186
408,165383
409,166580
410,167777
411,168974
412,170171
413,171368
414,172565
415,173762
416,174959
417,176156
418,177353
419,178550
420,179747
421,180944
422,182141
423,183338
424,184535
425,185732
426,186929
427,188126
428,189323
429,190520
430,191717
431,192914
432,194111
433,195308
434,196505
435,197702
436,198899
437,200096
438,201293
439,202490
440,203687
441,204884
442,206081
443,207278
444,208475
445,209672
446,210869
447,212066
448,213263
449,214460
450,215657
451,216854
452,218051
453,219248
454,220445
455,221642
456,222839
457,224036
458,225233
459,226430
460,227627
461,228824
462,230021
463,231218
464,232415
465,233612
466,234809
467,236006
468,237203
469,238400
470,239597
471,240794
472,241991
473,243188
474,244385
475,245582
476,246779
477,247976
478,249173
479,250370
480,251567
481,252764
482,253961
483,255158
484,256355
485,257552
486,258749
487,259946
488,261143
489,262340
490,263537
491,264734
492,265931
493,267128
494,268325
495,269522
496,270719
497,273086
498,275453
499,277820
500,280187
501,282554
502,284921
503,287288
504,289655
505,292022
506,294389
507,296756
508,299123
509,301490
510,303857
511,306224
512,308591
513,310958
514,313325
515,315692
516,318059
517,320426
518,322793
519,325160
520,327527
521,329894
522,332261
523,334628
524,336995
525,339362
526,341729
527,344096
528,346463
529,348830
530,351197
531,353564
532,355931
533,358298
534,360665
535,363032
536,365399
537,367766
538,370133
539,372500
540,374867
541,377234
542,379601
543,381968
544,384335
545,386702
546,389069
547,391436
548,393803
549,396170
550,398537
551,400904
552,403271
553,405638
554,408005
555,410372
556,412739
557,415106
558,417473
559,419840
560,422207
561,424574
562,426941
563,429308
564,431675
565,434042
566,436409
567,438776
568,441143
569,443510
570,445877
571,448244
572,450611
573,452978
574,455345
575,457712
576,460079
577,462446
578,464813
579,467180
580,469547
581,471914
582,474281
583,476648
584,479015
585,481382
586,483749
587,486116
588,488483
589,490850
590,493217
591,495584
592,497951
593,500318
594,502685
595,505052
596,507419
597,509786
598,512153
599,514520
600,516887
601,519254
602,521621
603,523988
604,526355
605,528722
606,531089
607,533456
608,535823
609,538190
610,540557
611,542924
612,545291
613,547658
614,550025
615,552392
616,554759
617,557126
618,559493
619,561860
620,564227
621,566594
622,568961
623,571328
624,573695
625,576062
626,578429
627,580796
628,583163
629,585530
630,587897
631,590264
632,592631
633,594998
634,597365
635,599732
636,602099
637,604466
638,606833
639,609200
640,611567
641,613934
642,616301
643,618668
644,621035
645,623402
646,625769
647,628136
648,630503
649,632870
650,635237
651,637604
652,639971
653,642338
654,644705
655,647072
656,649439
657,651806
658,654173
659,656540
660,658907
661,661274
662,663641
663,666008
664,668375
665,670742
666,673109
667,675476
668,677843
669,680210
670,682577
671,684944
672,687311
673,689678
674,692045
675,694412
676,696779
677,699146
678,701513
679,703880
680,706247
681,708614
682,710981
683,713348
684,715715
685,718082
686,720449
687,722816
688,725183
689,727550
690,729917
691,732284
692,734651
693,737018
694,739385
695,741752
696,744119
697,746486
698,748853
699,751220
700,753587
701,755954
702,758321
703,760688
704,763055
705,765422
706,767789
707,770156
708,772523
709,774890
710,777257
711,779624
712,781991
713,784358
714,786725
715,789092
716,791459
717,793826
718,796193
719,798560
720,800927
721,803294
722,805661
723,808028
724,810395
725,812762
726,815129
727,817496
728,819863
729,822230
730,824597
731,826964
732,829331
733,831698
734,834065
735,836432
736,838799
737,841166
738,843533
739,845900
740,848267
741,850634
742,853001
743,855368
744,857735
745,860102
746,862469
747,864836
748,867203
749,869570
750,871937
751,874304
752,876671
753,880208
754,883745
755,887282
756,890819
757,894356
758,897893
759,901430
760,904967
761,908504
762,912041
763,915578
764,919115
765,922652
766,926189
767,929726
768,933263
769,936800
770,940337
771,943874
772,947411
773,950948
774,954485
775,958022
776,961559
777,965096
778,968633
779,972170
780,975707
781,979244
782,982781
783,986318
784,989855
785,993392
786,996929
787,1000466
