depth,states
0,1
1,3
2,6
3,10
4,15
5,21
6,28
7,36
8,45
9,55
10,66
11,78
12,91
13,109
14,132
15,160
16,193
17,231
18,274
19,322
20,375
21,433
22,496
23,564
24,637
25,720
26,813
27,916
28,1029
29,1152
30,1285
31,1428
32,1581
33,1744
34,1917
35,2100
36,2293
37,2500
38,2721
39,2956
40,3205
41,3468
42,3745
43,4036
44,4341
45,4664
46,5005
47,5364
48,5748
49,6161
50,6603
51,7074
52,7574
53,8103
54,8661
55,9248
56,9864
57,10517
58,11207
59,11934
60,12698
61,13503
62,14349
63,15236
64,16164
65,17133
66,18143
67,19194
68,20286
69,21435
70,22641
71,23904
72,25224
73,26605
74,28047
75,29550
76,31114
77,32739
78,34425
79,36172
80,37980
81,39873
82,41851
83,43914
84,46062
85,48299
86,50625
87,53040
88,55544
89,58141
90,60831
91,63614
92,66507
93,69542
94,72719
95,76038
96,79499
97,83106
98,86859
99,90758
100,94803
101,99010
102,103379
103,107910
104,112619
105,117546
106,122691
107,128054
108,133635
109,139438
110,145463
111,151710
112,158262
113,165155
114,172389
115,179964
116,187895
117,196230
118,204969
119,214112
120,223659
121,233614
122,243977
123,254748
124,265927
125,277582
126,289713
127,302320
128,315418
129,329063
130,343255
131,357994
132,373280
133,389121
134,405517
135,422468
136,439974
137,458145
138,476981
139,496482
140,516662
141,537585
142,559251
143,581660
144,604812
145,628735
146,653429
147,678894
148,705130
149,732305
150,760419
151,789472
152,819478
153,850509
154,882565
155,915646
156,949907
157,985417
158,1022176
