depth,states
0,1
1,4
2,13
3,35
4,72
5,130
6,208
7,311
8,438
9,587
10,757
11,946
12,1157
13,1385
14,1624
15,1867
16,2113
17,2362
18,2611
19,2863
20,3116
21,3370
22,3625
23,3884
24,4145
25,4411
26,4688
27,4980
28,5290
29,5617
30,5966
31,6336
32,6732
33,7149
34,7589
35,8052
36,8533
37,9040
38,9571
39,10124
40,10703
41,11310
42,11933
43,12579
44,13253
45,13948
46,14661
47,15384
48,16109
49,16838
50,17576
51,18314
52,19055
53,19798
54,20538
55,21280
56,22018
57,22754
58,23488
59,24224
60,24959
61,25695
62,26433
63,27169
64,27907
65,28643
66,29377
67,30112
68,30853
69,31591
70,32332
71,33075
72,33815
73,34557
74,35295
75,36031
76,36765
77,37501
78,38236
79,38972
80,39710
81,40446
82,41184
83,41920
84,42654
85,43389
86,44130
87,44868
88,45609
89,46352
90,47092
91,47834
92,48572
93,49308
94,50042
95,50778
96,51513
97,52249
98,52994
99,53770
100,54614
101,55557
102,56627
103,57855
104,59293
105,60958
106,62905
107,65169
108,67774
109,70782
110,74217
111,78112
112,82480
113,87373
114,92802
115,98824
116,105470
117,112746
118,120706
119,129357
120,138734
121,148868
122,159811
123,171398
124,183750
125,196872
126,210641
127,225201
128,240501
129,256522
130,273224
131,290698
132,308879
133,327807
134,347994
135,371071
136,398613
137,432234
138,473796
139,524345
140,585477
141,658481
142,744807
143,845563
144,961504
145,1094745
