depth,states
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,20
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,29
29,30
30,31
31,32
32,33
33,34
34,35
35,36
36,37
37,38
38,39
39,40
40,41
41,42
42,43
43,44
44,45
45,46
46,47
47,48
48,49
49,50
50,51
51,52
52,53
53,54
54,55
55,56
56,57
57,58
58,59
59,60
60,61
61,62
62,63
63,64
64,65
65,66
66,67
67,68
68,69
69,70
70,71
71,72
72,73
73,74
74,75
75,76
76,77
77,78
78,79
79,80
80,81
81,82
82,83
83,84
84,85
85,86
86,87
87,88
88,89
89,90
90,91
91,92
92,93
93,94
94,95
95,96
96,97
97,98
98,99
99,100
100,101
101,102
102,103
103,104
104,105
105,106
106,107
107,108
108,109
109,110
110,111
111,112
112,113
113,114
114,115
115,116
116,117
117,118
118,119
119,120
120,121
121,122
122,123
123,124
124,125
125,126
126,127
127,128
128,129
129,130
130,131
131,132
132,133
133,134
134,135
135,136
136,137
137,138
138,139
139,140
140,141
141,142
142,143
143,144
144,145
145,146
146,147
147,148
148,149
149,150
150,151
151,152
152,153
153,154
154,155
155,156
156,157
157,158
158,159
159,160
160,168
161,186
162,224
163,286
164,380
165,522
166,704
167,940
168,1252
169,1624
170,2060
171,2600
172,3216
173,3908
174,4732
175,5648
176,6660
177,7832
178,9112
179,10500
180,12076
181,13776
182,15604
183,17599
184,19725
185,21981
186,24418
187,26996
188,29718
189,32655
190,35763
191,39049
192,42586
193,46312
194,50216
195,54401
196,58787
197,63365
198,68254
199,73313
200,78529
201,84037
202,89720
203,95568
204,101726
205,108065
206,114573
207,121370
208,128347
209,135495
210,142936
211,150559
212,158355
213,166452
214,174733
215,183191
216,191960
217,200917
218,210053
219,219508
220,229149
221,238965
222,249102
223,259427
224,269929
225,280760
226,291737
227,302871
228,314265
229,325822
230,337476
231,349436
232,361500
233,373715
234,386173
235,398792
236,411494
237,424500
238,437596
239,450843
240,464321
241,477960
242,491672
243,505690
244,519788
245,534039
246,548511
247,563147
248,577849
249,592860
250,607946
251,623189
252,638649
253,654277
254,669967
255,685970
256,702044
257,718279
258,734727
259,751347
260,768025
261,785020
262,802082
263,819309
264,836745
265,854357
266,872023
267,890010
268,908060
269,926279
270,944703
271,963307
272,981961
273,1000940
