depth,states
0,1
1,10
2,48
3,148
4,358
5,717
6,1269
7,2045
8,3083
9,4439
10,6199
11,8349
12,10903
13,13875
14,17315
15,21237
16,25686
17,30656
18,36188
19,42279
20,48951
21,56196
22,64116
23,72602
24,81676
25,91318
26,101746
27,112742
28,124326
29,136478
30,149520
31,163134
32,177335
33,192111
34,207895
35,224251
36,241195
37,258704
38,277880
39,298130
40,319372
41,341951
42,366683
43,392199
44,418711
45,446699
46,476935
47,508635
48,541526
49,575277
50,611097
51,648085
52,686187
53,725004
54,766002
55,808176
56,851458
57,895316
58,941378
59,988612
60,1036952
