depth,states
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,20
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,29
29,30
30,31
31,32
32,33
33,34
34,35
35,36
36,37
37,38
38,39
39,40
40,41
41,42
42,43
43,44
44,45
45,46
46,47
47,48
48,49
49,50
50,51
51,52
52,53
53,54
54,55
55,56
56,57
57,58
58,59
59,60
60,61
61,62
62,63
63,64
64,65
65,66
66,67
67,68
68,69
69,70
70,71
71,72
72,73
73,74
74,75
75,76
76,77
77,78
78,79
79,80
80,81
81,82
82,83
83,84
84,85
85,86
86,87
87,88
88,89
89,90
90,91
91,92
92,93
93,94
94,95
95,96
96,97
97,98
98,99
99,100
100,101
101,102
102,103
103,104
104,105
105,106
106,107
107,108
108,109
109,110
110,111
111,112
112,113
113,114
114,115
115,116
116,117
117,118
118,119
119,120
120,121
121,122
122,123
123,124
124,125
125,126
126,127
127,128
128,129
129,130
130,131
131,132
132,133
133,134
134,135
135,136
136,137
137,138
138,139
139,140
140,141
141,142
142,143
143,144
144,145
145,146
146,147
147,148
148,149
149,150
150,151
151,152
152,153
153,154
154,155
155,156
156,157
157,158
158,159
159,160
160,161
161,162
162,163
163,164
164,165
165,166
166,167
167,168
168,169
169,170
170,171
171,172
172,173
173,174
174,175
175,176
176,177
177,178
178,179
179,180
180,181
181,182
182,183
183,184
184,185
185,186
186,187
187,188
188,189
189,190
190,191
191,192
192,193
193,194
194,195
195,196
196,197
197,198
198,199
199,200
200,201
201,202
202,203
203,204
204,205
205,206
206,207
207,208
208,209
209,210
210,211
211,212
212,213
213,214
214,215
215,216
216,217
217,218
218,219
219,220
220,221
221,222
222,223
223,224
224,225
225,226
226,227
227,228
228,229
229,230
230,231
231,232
232,233
233,234
234,235
235,236
236,237
237,238
238,239
239,240
240,241
241,242
242,243
243,244
244,245
245,246
246,247
247,248
248,257
249,338
250,419
251,500
252,581
253,662
254,743
255,824
256,905
257,986
258,1067
259,1148
260,1229
261,1310
262,1391
263,1472
264,1553
265,1634
266,1715
267,1796
268,1877
269,1958
270,2039
271,2120
272,2201
273,2282
274,2363
275,2444
276,2525
277,2606
278,2687
279,2768
280,2849
281,2930
282,3011
283,3092
284,3173
285,3254
286,3335
287,3416
288,3497
289,3578
290,3659
291,3740
292,3803
293,3866
294,3929
295,3992
296,4055
297,4118
298,4181
299,4244
300,4307
301,4370
302,4433
303,4496
304,4559
305,4622
306,4685
307,4748
308,4811
309,4874
310,4937
311,5000
312,5063
313,5126
314,5189
315,5252
316,5315
317,5378
318,5441
319,5504
320,5567
321,5630
322,5693
323,5756
324,5819
325,5882
326,5945
327,6008
328,6071
329,6134
330,6197
331,6260
332,6323
333,6386
334,6449
335,6512
336,6575
337,6638
338,6701
339,6764
340,6827
341,6890
342,6953
343,7016
344,7079
345,7142
346,7205
347,7268
348,7331
349,7394
350,7457
351,7520
352,7583
353,7646
354,7709
355,7772
356,7835
357,7898
358,7961
359,8024
360,8087
361,8150
362,8213
363,8276
364,8339
365,8402
366,8465
367,8528
368,8591
369,8654
370,8717
371,8780
372,8843
373,8906
374,8969
375,9032
376,9095
377,9158
378,9221
379,9284
380,9347
381,9410
382,9473
383,9536
384,9599
385,9662
386,9725
387,9788
388,9851
389,9914
390,9977
391,10040
392,10103
393,10166
394,10229
395,10292
396,10355
397,10418
398,10481
399,10544
400,10607
401,10670
402,10733
403,10796
404,10859
405,10922
406,10985
407,11048
408,11111
409,11174
410,11237
411,11300
412,11363
413,11426
414,11489
415,11552
416,11615
417,11678
418,11741
419,11804
420,11867
421,11930
422,11993
423,12056
424,12119
425,12182
426,12245
427,12308
428,12371
429,12434
430,12497
431,12560
432,12623
433,12686
434,12749
435,12812
436,12875
437,12938
438,13001
439,13064
440,13127
441,13190
442,13253
443,13316
444,13379
445,13442
446,13505
447,13568
448,13631
449,13694
450,13757
451,13820
452,13883
453,13946
454,14009
455,14072
456,14135
457,14198
458,14261
459,14324
460,14387
461,14450
462,14513
463,14576
464,14639
465,14702
466,14765
467,14828
468,14891
469,14954
470,15017
471,15080
472,15143
473,15206
474,15269
475,15332
476,15395
477,15449
478,15503
479,15557
480,15611
481,15665
482,15719
483,15773
484,15827
485,15881
486,15935
487,15989
488,16043
489,16097
490,16151
491,16205
492,16259
493,16313
494,16367
495,16421
496,16475
497,16529
498,16583
499,16637
500,16691
501,16745
502,16799
503,16853
504,16907
505,16961
506,17015
507,17069
508,17123
509,17177
510,17231
511,17285
512,17339
513,17393
514,17447
515,17501
516,17555
517,17609
518,17663
519,17717
520,17771
521,17825
522,17879
523,17933
524,17987
525,18041
526,18095
527,18149
528,18203
529,18257
530,18311
531,18365
532,18419
533,18473
534,18527
535,18581
536,18635
537,18689
538,18743
539,18797
540,18851
541,18905
542,18959
543,19013
544,19067
545,19121
546,19175
547,19229
548,19283
549,19337
550,19391
551,19445
552,19499
553,19553
554,19607
555,19661
556,19715
557,19769
558,19823
559,19877
560,19931
561,19985
562,20039
563,20093
564,20147
565,20201
566,20255
567,20309
568,20363
569,20417
570,20471
571,20525
572,20579
573,20633
574,20687
575,20741
576,20795
577,20849
578,20903
579,20957
580,21011
581,21065
582,21119
583,21173
584,21227
585,21281
586,21335
587,21389
588,21443
589,21497
590,21551
591,21605
592,21659
593,21713
594,21767
595,21821
596,21875
597,21929
598,21983
599,22037
600,22091
601,22145
602,22199
603,22253
604,22307
605,22361
606,22415
607,22469
608,22523
609,22577
610,22631
611,22685
612,22739
613,22793
614,22847
615,22901
616,22955
617,23009
618,23063
619,23117
620,23171
621,23225
622,23279
623,23333
624,23387
625,23441
626,23495
627,23549
628,23603
629,23657
630,23711
631,23765
632,23819
633,23873
634,23927
635,24215
636,24917
637,25970
638,27464
639,29471
640,32063
641,34961
642,38534
643,42854
644,47894
645,53726
646,60404
647,67874
648,75560
649,84056
650,93344
651,103397
652,114359
653,126257
654,139046
655,152537
656,167063
657,182660
658,199229
659,216941
660,235832
661,255830
662,276683
663,299183
664,323348
665,349250
666,377915
667,410189
668,446216
669,486293
670,535136
671,593528
672,665879
673,746510
674,844475
675,960314
676,1094297
