depth,states
0,1
1,3
2,7
3,13
4,21
5,32
6,48
7,71
8,103
9,147
10,209
11,297
12,417
13,575
14,781
15,1039
16,1350
17,1711
18,2122
19,2590
20,3118
21,3714
22,4381
23,5121
24,5956
25,6906
26,7980
27,9185
28,10533
29,12030
30,13679
31,15468
32,17391
33,19453
34,21667
35,24060
36,26643
37,29417
38,32387
39,35562
40,38954
41,42579
42,46437
43,50532
44,54862
45,59411
46,64172
47,69146
48,74337
49,79760
50,85430
51,91288
52,97278
53,103458
54,109879
55,116536
56,123432
57,130576
58,137956
59,145564
60,153414
61,161497
62,169793
63,178291
64,187004
65,195933
66,205073
67,214444
68,224023
69,233793
70,243780
71,253994
72,264421
73,275072
74,285966
75,297100
76,308467
77,320069
78,331906
79,343963
80,356209
81,368611
82,381200
83,394004
84,407005
85,420221
86,433668
87,447312
88,461139
89,475166
90,489410
91,503883
92,518575
93,533478
94,548586
95,563886
96,579374
97,595061
98,610966
99,627081
100,643394
101,659923
102,676661
103,693591
104,710725
105,728055
106,745565
107,763262
108,781144
109,799211
110,817462
111,835891
112,854488
113,873251
114,892216
115,911403
116,930774
117,950311
118,970025
119,989931
120,1010023
