depth,states
0,1
1,10
2,55
3,175
4,406
5,784
6,1345
7,2125
8,3160
9,4486
10,6139
11,8155
12,10570
13,13420
14,16741
15,20525
16,24802
17,29602
18,34955
19,40947
20,47614
21,54992
22,63117
23,72025
24,81752
25,92334
26,103807
27,116207
28,129570
29,143932
30,159156
31,174908
32,191188
33,207996
34,225332
35,243196
36,261588
37,280508
38,299956
39,319932
40,340436
41,361468
42,383028
43,405028
44,427292
45,449732
46,472172
47,494612
48,517052
49,539492
50,561932
51,584372
52,606812
53,629252
54,651692
55,674132
56,696572
57,719012
58,741452
59,763892
60,786332
61,808772
62,831212
63,853652
64,876092
65,898532
66,920972
67,943412
68,965852
69,988292
70,1010732
