depth,states
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,20
19,28
20,36
21,61
22,121
23,181
24,301
25,505
26,709
27,1009
28,1421
29,1833
30,2370
31,2907
32,3568
33,4349
34,5130
35,6043
36,7100
37,8160
38,9365
39,10726
40,12087
41,13606
42,15109
43,16782
44,18627
45,20434
46,22413
47,24570
48,26701
49,29009
50,31471
51,33895
52,36502
53,39027
54,41739
55,44640
56,47443
57,50443
58,53641
59,56785
60,60135
61,63643
62,67088
63,70750
64,74278
65,78032
66,82012
67,85846
68,89914
69,94220
70,98449
71,102920
72,107562
73,112121
74,116934
75,121579
76,126498
77,131718
78,136766
79,142199
80,148136
81,153987
82,160527
83,167837
84,175058
85,183386
86,191456
87,200887
88,212010
89,222803
90,235910
91,251834
92,267451
93,286802
94,310323
95,333335
96,361944
97,389622
98,423418
99,465170
100,505458
101,555510
102,615605
103,673968
104,745945
105,832021
106,915573
107,1017906
