depth,states
0,1
1,3
2,7
3,11
4,16
5,23
6,31
7,40
8,50
9,61
10,73
11,86
12,100
13,123
14,155
15,196
16,254
17,337
18,437
19,554
20,688
21,839
22,1007
23,1192
24,1394
25,1613
26,1849
27,2102
28,2372
29,2683
30,3035
31,3444
32,3910
33,4433
34,5013
35,5650
36,6344
37,7095
38,7903
39,8768
40,9690
41,10669
42,11705
43,12798
44,13948
45,15195
46,16540
47,18007
48,19596
49,21307
50,23141
51,25097
52,27175
53,29375
54,31697
55,34141
56,36707
57,39395
58,42205
59,45137
60,48191
61,51401
62,54725
63,58190
64,61802
65,65552
66,69440
67,73466
68,77630
69,81932
70,86372
71,90950
72,95666
73,100520
74,105512
75,110642
76,115910
77,121418
78,126998
79,132678
80,138486
81,144394
82,150402
83,156510
84,162718
85,169026
86,175434
87,181942
88,188550
89,195258
90,202066
91,208974
92,215982
93,223178
94,230474
95,237898
96,245478
97,253186
98,261022
99,268986
100,277078
101,285298
102,293646
103,302122
104,310726
105,319458
106,328318
107,337306
108,346422
109,355741
110,365179
111,374764
112,384524
113,394431
114,404485
115,414686
116,425034
117,435529
118,446171
119,456960
120,467896
121,478979
122,490209
123,501586
124,513110
125,524822
126,536638
127,548586
128,560694
129,572934
130,585306
131,597810
132,610446
133,623214
134,636114
135,649146
136,662310
137,675606
138,689034
139,702594
140,716286
141,730166
142,744150
143,758266
144,772542
145,786950
146,801490
147,816162
148,830966
149,845902
150,860970
151,876170
152,891502
153,906966
154,922562
155,938290
156,954150
157,970198
158,986350
159,1002634
