depth,states
0,1
1,7
2,25
3,55
4,141
5,283
6,503
7,851
8,1285
9,1935
10,2635
11,3651
12,4591
13,5931
14,7131
15,8819
16,10265
17,12267
18,13915
19,16173
20,17983
21,20433
22,22367
23,24961
24,27017
25,29775
26,31987
27,34963
28,37391
29,40673
30,43319
31,46899
32,49775
33,53659
34,56791
35,61015
36,64425
37,69021
38,72711
39,77681
40,81639
41,86965
42,91195
43,96881
44,101399
45,107469
46,112271
47,118721
48,123813
49,130645
50,135961
51,143069
52,148575
53,155907
54,161529
55,168991
56,174687
57,182229
58,187959
59,195537
60,201289
61,208891
62,214649
63,222257
64,228015
65,235623
66,241381
67,248989
68,254747
69,262355
70,268113
71,275721
72,281479
73,289087
74,294845
75,302453
76,308211
77,315819
78,321577
79,329185
80,334943
81,342551
82,348309
83,355917
84,361675
85,369283
86,375041
87,382649
88,388407
89,396015
90,401773
91,409381
92,415139
93,422747
94,428505
95,436113
96,441871
97,449479
98,455237
99,462845
100,468603
101,476211
102,481969
103,489577
104,495335
105,502943
106,508701
107,516309
108,522067
109,529675
110,535433
111,543041
112,548799
113,556407
114,562165
115,569773
116,575531
117,583139
118,588897
119,596505
120,602263
121,609871
122,615629
123,623237
124,628995
125,636603
126,642361
127,649969
128,655727
129,663335
130,669093
131,676701
132,682459
133,690067
134,695825
135,703433
136,709191
137,716799
138,722557
139,730165
140,735923
141,743531
142,749289
143,756897
144,762655
145,770263
146,776021
147,783629
148,789387
149,796995
150,802753
151,810361
152,816119
153,823727
154,829485
155,837093
156,842851
157,850459
158,856217
159,863825
160,869583
161,877191
162,882949
163,890557
164,896315
165,903923
166,909681
167,917289
168,923047
169,930655
170,936413
171,944021
172,949779
173,957387
174,963145
175,970753
176,976511
177,984119
178,989877
179,997485
180,1003243
