depth,states
0,1
1,10
2,91
3,172
4,253
5,334
6,415
7,496
8,577
9,658
10,739
11,820
12,901
13,982
14,1063
15,1144
16,1225
17,1306
18,1387
19,1468
20,1549
21,1630
22,1711
23,1792
24,1873
25,1954
26,2035
27,2116
28,2197
29,2278
30,2359
31,2440
32,2521
33,2602
34,2683
35,2764
36,2845
37,2926
38,3007
39,3088
40,3169
41,3250
42,3331
43,3412
44,3493
45,3574
46,3655
47,3736
48,3817
49,3898
50,3979
51,4060
52,4141
53,4222
54,4303
55,4384
56,4465
57,4546
58,4627
59,4708
60,4789
61,4870
62,4951
63,5032
64,5113
65,5194
66,5275
67,5356
68,5437
69,5518
70,5599
71,5680
72,5761
73,5842
74,5923
75,6004
76,6085
77,6166
78,6247
79,6328
80,6490
81,6814
82,9073
83,19861
84,65035
85,233522
86,798595
87,2531597
