depth,states
0,1
1,10
2,19
3,28
4,37
5,46
6,55
7,64
8,73
9,82
10,91
11,100
12,109
13,118
14,127
15,136
16,145
17,154
18,163
19,172
20,181
21,190
22,199
23,208
24,217
25,226
26,235
27,244
28,253
29,262
30,271
31,280
32,289
33,298
34,307
35,316
36,325
37,334
38,343
39,352
40,361
41,370
42,379
43,388
44,397
45,406
46,415
47,424
48,433
49,442
50,451
51,460
52,469
53,478
54,487
55,496
56,505
57,514
58,523
59,532
60,541
61,550
62,559
63,568
64,577
65,586
66,595
67,604
68,613
69,622
70,631
71,640
72,649
73,658
74,667
75,676
76,685
77,694
78,703
79,712
80,721
81,730
82,739
83,748
84,757
85,766
86,775
87,784
88,793
89,802
90,811
91,820
92,829
93,838
94,847
95,856
96,865
97,874
98,883
99,892
100,901
101,910
102,919
103,928
104,937
105,946
106,955
107,964
108,973
109,982
110,991
111,1000
112,1009
113,1018
114,1027
115,1036
116,1045
117,1054
118,1063
119,1072
120,1081
121,1090
122,1099
123,1108
124,1117
125,1126
126,1135
127,1144
128,1153
129,1198
130,1326
131,1590
132,2070
133,3032
134,6134
135,15324
136,37394
137,81992
138,161334
139,287992
140,475246
141,739012
142,1100514
