depth,states
0,1
1,4
2,5
3,8
4,9
5,12
6,13
7,16
8,17
9,20
10,21
11,24
12,25
13,28
14,29
15,32
16,33
17,36
18,37
19,40
20,41
21,44
22,45
23,48
24,49
25,52
26,53
27,56
28,57
29,60
30,61
31,64
32,65
33,68
34,69
35,72
36,73
37,76
38,77
39,80
40,81
41,84
42,85
43,88
44,89
45,92
46,93
47,96
48,97
49,100
50,101
51,104
52,105
53,108
54,109
55,112
56,113
57,116
58,117
59,120
60,121
61,124
62,125
63,128
64,129
65,132
66,133
67,136
68,137
69,140
70,141
71,144
72,145
73,148
74,149
75,152
76,153
77,156
78,157
79,160
80,161
81,164
82,165
83,168
84,169
85,172
86,173
87,176
88,177
89,180
90,181
91,184
92,185
93,188
94,189
95,192
96,193
97,196
98,197
99,200
100,201
101,204
102,205
103,208
104,209
105,212
106,213
107,216
108,217
109,220
110,221
111,224
112,225
113,228
114,229
115,232
116,233
117,236
118,237
119,240
120,241
121,244
122,245
123,248
124,249
125,252
126,253
127,256
128,257
129,260
130,264
131,276
132,287
133,320
134,343
135,412
136,454
137,580
138,649
139,856
140,962
141,1280
142,1434
143,1896
144,2120
145,2792
146,3136
147,4168
148,4723
149,6388
150,7280
151,9956
152,11362
153,15580
154,17807
155,24488
156,28193
157,39308
158,45917
159,65744
160,77845
161,114148
162,135891
163,201120
164,240574
165,358807
166,428114
167,635813
168,756362
169,1117799
