depth,states
0,1
1,2
2,3
3,18
4,33
5,104
6,224
7,344
8,520
9,780
10,1040
11,1356
12,1791
13,2226
14,2717
15,3362
16,4007
17,4708
18,5598
19,6488
20,7434
21,8604
22,9774
23,11000
24,12485
25,13970
26,15511
27,17346
28,19181
29,21072
30,23292
31,25512
32,27788
33,30428
34,33068
35,35764
36,38859
37,41954
38,45105
39,48696
40,52287
41,55963
42,60320
43,64598
44,69031
45,75289
46,80869
47,86668
48,97771
49,106616
50,115023
51,142982
52,164087
53,178743
54,224136
55,253582
56,277674
57,356677
58,404959
59,442690
60,569812
61,630775
62,684051
63,874750
64,963396
65,1038184
