depth,states
0,1
1,6
2,11
3,16
4,21
5,26
6,31
7,36
8,41
9,46
10,51
11,56
12,61
13,66
14,71
15,76
16,93
17,110
18,127
19,144
20,161
21,178
22,195
23,212
24,229
25,246
26,263
27,280
28,297
29,314
30,327
31,376
32,425
33,474
34,523
35,572
36,621
37,670
38,719
39,768
40,817
41,866
42,915
43,964
44,1013
45,1050
46,1195
47,1340
48,1485
49,1630
50,1775
51,1920
52,2065
53,2210
54,2355
55,2500
56,2645
57,2790
58,2935
59,3080
60,3189
61,3622
62,4055
63,4488
64,4921
65,5354
66,5787
67,6220
68,6653
69,7086
70,7519
71,7952
72,8385
73,8818
74,9251
75,9576
76,10801
77,12026
78,13251
79,14476
80,15701
81,16926
82,18151
83,19376
84,20601
85,21826
86,23051
87,24276
88,25501
89,26726
90,27651
91,31132
92,34613
93,38094
94,41575
95,45056
96,48537
97,52018
98,55499
99,58980
100,62461
101,65942
102,69423
103,72904
104,76385
105,79038
106,88711
107,98384
108,108057
109,117730
110,127403
111,137076
112,146749
113,156422
114,166095
115,175768
116,185441
117,195114
118,204787
119,214460
120,221841
121,248770
122,275699
123,302628
124,329557
125,356486
126,383415
127,410344
128,437273
129,464202
130,491131
131,518060
132,544989
133,571918
134,598847
135,619504
136,693345
137,767186
138,841027
139,914868
140,988709
141,1062550
