depth,states
0,1
1,3
2,4
3,9
4,14
5,19
6,24
7,49
8,74
9,99
10,124
11,200
12,276
13,352
14,428
15,599
16,770
17,875
18,980
19,1294
20,1608
21,1922
22,2236
23,2730
24,3224
25,3718
26,4212
27,4899
28,5586
29,6272
30,6958
31,7822
32,8686
33,9093
34,9500
35,10504
36,11508
37,12512
38,13516
39,14613
40,15710
41,16807
42,17904
43,19053
44,20202
45,21351
46,22500
47,23668
48,24836
49,25336
50,25836
51,26996
52,28156
53,29316
54,30476
55,31626
56,32776
57,33926
58,35076
59,36214
60,37352
61,38490
62,39628
63,40759
64,41890
65,42391
66,42892
67,44016
68,45140
69,46264
70,47388
71,48511
72,49634
73,50757
74,51880
75,53013
76,54146
77,55279
78,56412
79,57593
80,58774
81,59302
82,59830
83,61066
84,62302
85,63538
86,64774
87,66447
88,68120
89,69793
90,71466
91,73980
92,76494
93,79008
94,81522
95,85294
96,89066
97,91065
98,93064
99,98291
100,103518
101,108745
102,113972
103,120794
104,127616
105,134438
106,141260
107,149484
108,157708
109,165932
110,174156
111,183441
112,192726
113,196921
114,201116
115,211093
116,221070
117,231047
118,241024
119,251369
120,261714
121,272059
122,282404
123,292895
124,303386
125,313877
126,324368
127,334868
128,345368
129,349946
130,354524
131,364888
132,375252
133,385616
134,395980
135,406283
136,416586
137,426889
138,437192
139,447497
140,457802
141,468107
142,478412
143,488867
144,499322
145,504053
146,508784
147,519279
148,529774
149,540269
150,550764
151,562216
152,573668
153,585120
154,596572
155,609843
156,623114
157,636385
158,649656
159,665835
160,682014
161,690127
162,698240
163,717193
164,736146
165,755099
166,774052
167,798180
168,822308
169,846436
170,870564
171,900885
172,931206
173,961527
174,991848
175,1028942
