depth,states
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,20
20,21
21,22
22,23
23,25
24,28
25,33
26,39
27,46
28,53
29,67
30,89
31,126
32,172
33,225
34,286
35,348
36,410
37,472
38,534
39,596
40,658
41,720
42,782
43,844
44,906
45,991
46,1104
47,1253
48,1423
49,1607
50,1811
51,2014
52,2217
53,2420
54,2623
55,2826
56,3029
57,3232
58,3435
59,3638
60,3841
61,4070
62,4334
63,4630
64,4945
65,5256
66,5586
67,5916
68,6246
69,6576
70,6906
71,7236
72,7566
73,7896
74,8226
75,8556
76,8886
77,9243
78,9634
79,10052
80,10484
81,10894
82,11318
83,11742
84,12166
85,12590
86,13014
87,13438
88,13862
89,14286
90,14710
91,15134
92,15558
93,16013
94,16507
95,17029
96,17565
97,18069
98,18587
99,19105
100,19623
101,20141
102,20659
103,21177
104,21695
105,22213
106,22731
107,23249
108,23767
109,24320
110,24917
111,25543
112,26183
113,26781
114,27393
115,28005
116,28617
117,29229
118,29841
119,30453
120,31065
121,31677
122,32289
123,32901
124,33513
125,34164
126,34864
127,35590
128,36328
129,37012
130,37708
131,38404
132,39099
133,39794
134,40489
135,41184
136,41879
137,42574
138,43269
139,43964
140,44659
141,45393
142,46166
143,46962
144,47766
145,48503
146,49248
147,49992
148,50736
149,51480
150,52224
151,52968
152,53712
153,54456
154,55200
155,55944
156,56688
157,57464
158,58273
159,59097
160,59920
161,60664
162,61407
163,62151
164,62894
165,63637
166,64380
167,65123
168,65866
169,66609
170,67352
171,68095
172,68838
173,69614
174,70423
175,71246
176,72069
177,72813
178,73557
179,74301
180,75045
181,75789
182,76533
183,77277
184,78021
185,78765
186,79509
187,80253
188,80997
189,81774
190,82618
191,83564
192,84519
193,85386
194,86323
195,87190
196,88055
197,88910
198,89775
199,90630
200,91495
201,92350
202,93215
203,94070
204,94935
205,95823
206,96752
207,97688
208,98666
209,99557
210,100422
211,101279
212,102136
213,102993
214,103850
215,104707
216,105564
217,106421
218,107278
219,108135
220,108992
221,109881
222,110824
223,111760
224,112720
225,113579
226,114457
227,115313
228,116170
229,117026
230,117883
231,118739
232,119596
233,120452
234,121309
235,122165
236,123022
237,123910
238,124842
239,125779
240,126725
241,127582
242,128449
243,129306
244,130162
245,131019
246,131875
247,132732
248,133588
249,134445
250,135301
251,136158
252,137014
253,137903
254,138833
255,139769
256,140714
257,141570
258,142435
259,143291
260,144148
261,145004
262,145861
263,146717
264,147574
265,148430
266,149287
267,150143
268,151000
269,151888
270,152816
271,153753
272,154696
273,155553
274,156416
275,157273
276,158129
277,158986
278,159842
279,160699
280,161555
281,162412
282,163268
283,164125
284,164981
285,165870
286,166796
287,167732
288,168673
289,169529
290,170390
291,171246
292,172103
293,172959
294,173816
295,174672
296,175529
297,176385
298,177242
299,178098
300,178955
301,179843
302,180767
303,181704
304,182643
305,183500
306,184359
307,185216
308,186072
309,186929
310,187785
311,188642
312,189498
313,190355
314,191211
315,192068
316,192924
317,193813
318,194736
319,195672
320,196610
321,197466
322,198324
323,199180
324,200037
325,200893
326,201750
327,202606
328,203463
329,204319
330,205176
331,206032
332,206889
333,207777
334,208700
335,209637
336,210575
337,211432
338,212290
339,213147
340,214003
341,214860
342,215716
343,216573
344,217429
345,218286
346,219142
347,219999
348,220855
349,221744
350,222667
351,223603
352,224541
353,225397
354,226255
355,227111
356,227968
357,228824
358,229681
359,230537
360,231394
361,232250
362,233107
363,233963
364,234820
365,235708
366,236631
367,237567
368,238504
369,239360
370,240217
371,241073
372,241928
373,242784
374,243639
375,244495
376,245350
377,246206
378,247061
379,247917
380,248772
381,249661
382,250584
383,251518
384,252453
385,253308
386,254164
387,255019
388,255873
389,256727
390,257581
391,258435
392,259289
393,260143
394,260997
395,261851
396,262705
397,263593
398,264514
399,265448
400,266384
401,267240
402,268098
403,268954
404,269810
405,270666
406,271522
407,272378
408,273234
409,274090
410,274946
411,275802
412,276658
413,277546
414,278468
415,279404
416,280340
417,281196
418,282052
419,282908
420,283763
421,284618
422,285473
423,286328
424,287183
425,288038
426,288893
427,289748
428,290603
429,291491
430,292413
431,293348
432,294284
433,295140
434,295997
435,296853
436,297709
437,298565
438,299421
439,300277
440,301133
441,301989
442,302845
443,303701
444,304557
445,305446
446,306403
447,307461
448,308529
449,309508
450,310557
451,311536
452,312513
453,313480
454,314457
455,315424
456,316401
457,317368
458,318345
459,319312
460,320289
461,321289
462,322330
463,323378
464,324468
465,325471
466,326448
467,327417
468,328386
469,329355
470,330324
471,331293
472,332262
473,333231
474,334200
475,335169
476,336138
477,337139
478,338194
479,339242
480,340314
481,341285
482,342275
483,343243
484,344212
485,345180
486,346149
487,347117
488,348086
489,349054
490,350023
491,350991
492,351960
493,352960
494,354004
495,355053
496,356111
497,357080
498,358059
499,359028
500,359996
501,360965
502,361933
503,362902
504,363870
505,364839
506,365807
507,366776
508,367744
509,368745
510,369787
511,370835
512,371892
513,372860
514,373837
515,374805
516,375774
517,376742
518,377711
519,378679
520,379648
521,380616
522,381585
523,382553
524,383522
525,384522
526,385562
527,386611
528,387666
529,388635
530,389610
531,390579
532,391547
533,392516
534,393484
535,394453
536,395421
537,396390
538,397358
539,398327
540,399295
541,400296
542,401334
543,402382
544,403435
545,404403
546,405376
547,406344
548,407313
549,408281
550,409250
551,410218
552,411187
553,412155
554,413124
555,414092
556,415061
557,416061
558,417097
559,418146
560,419197
561,420166
562,421137
563,422106
564,423074
565,424043
566,425011
567,425980
568,426948
569,427917
570,428885
571,429854
572,430822
573,431823
574,432858
575,433906
576,434956
577,435924
578,436894
579,437862
580,438831
581,439799
582,440768
583,441736
584,442705
585,443673
586,444642
587,445610
588,446579
589,447579
590,448614
591,449663
592,450713
593,451682
594,452652
595,453621
596,454589
597,455558
598,456526
599,457495
600,458463
601,459432
602,460400
603,461369
604,462337
605,463338
606,464373
607,465421
608,466471
609,467439
610,468409
611,469377
612,470346
613,471314
614,472283
615,473251
616,474220
617,475188
618,476157
619,477125
620,478094
621,479094
622,480129
623,481177
624,482226
625,483194
626,484163
627,485131
628,486098
629,487066
630,488033
631,489001
632,489968
633,490936
634,491903
635,492871
636,493838
637,494839
638,495874
639,496920
640,497967
641,498934
642,499902
643,500869
644,501835
645,502801
646,503767
647,504733
648,505699
649,506665
650,507631
651,508597
652,509563
653,510563
654,511596
655,512642
656,513690
657,514658
658,515628
659,516596
660,517564
661,518532
662,519500
663,520468
664,521436
665,522404
666,523372
667,524340
668,525308
669,526308
670,527342
671,528390
672,529438
673,530406
674,531374
675,532342
676,533309
677,534276
678,535243
679,536210
680,537177
681,538144
682,539111
683,540078
684,541045
685,542045
686,543079
687,544126
688,545174
689,546142
690,547111
691,548079
692,549047
693,550015
694,550983
695,551951
696,552919
697,553887
698,554855
699,555823
700,556791
701,557792
702,558861
703,560031
704,561211
705,562302
706,563463
707,564554
708,565643
709,566722
710,567811
711,568890
712,569979
713,571058
714,572147
715,573226
716,574315
717,575427
718,576580
719,577740
720,578942
721,580057
722,581146
723,582227
724,583308
725,584389
726,585470
727,586551
728,587632
729,588713
730,589794
731,590875
732,591956
733,593069
734,594236
735,595396
736,596580
737,597663
738,598765
739,599845
740,600926
741,602006
742,603087
743,604167
744,605248
745,606328
746,607409
747,608489
748,609570
749,610682
750,611838
751,612999
752,614169
753,615250
754,616341
755,617422
756,618502
757,619583
758,620663
759,621744
760,622824
761,623905
762,624985
763,626066
764,627146
765,628259
766,629413
767,630573
768,631742
769,632822
770,633911
771,634991
772,636072
773,637152
774,638233
775,639313
776,640394
777,641474
778,642555
779,643635
