depth,states
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,20
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,29
29,30
30,31
31,32
32,33
33,34
34,35
35,36
36,37
37,38
38,39
39,40
40,41
41,42
42,43
43,44
44,45
45,46
46,47
47,48
48,49
49,50
50,51
51,52
52,53
53,54
54,55
55,56
56,57
57,58
58,59
59,60
60,61
61,62
62,63
63,64
64,65
65,66
66,75
67,84
68,93
69,102
70,183
71,264
72,345
73,426
74,1062
75,1478
76,1894
77,2310
78,5445
79,6742
80,8039
81,9336
82,19377
83,22142
84,24907
85,27672
86,48231
87,52822
88,57413
89,62004
90,94215
91,100858
92,107501
93,114144
94,159859
95,168785
96,177711
97,186637
98,247418
99,258818
100,270218
101,281618
102,358481
103,372422
104,386363
105,400304
106,493406
107,509916
108,526426
109,542936
110,652307
111,671344
112,690382
113,709420
114,834682
115,856229
116,877780
117,899331
118,1040414
