depth,states
0,1
1,3
2,6
3,10
4,14
5,18
6,22
7,26
8,30
9,34
10,38
11,42
12,46
13,50
14,54
15,58
16,62
17,66
18,70
19,74
20,78
21,82
22,86
23,90
24,94
25,103
26,121
27,141
28,163
29,187
30,213
31,241
32,271
33,303
34,337
35,373
36,411
37,451
38,493
39,537
40,583
41,631
42,681
43,733
44,787
45,843
46,901
47,961
48,1023
49,1087
50,1153
51,1221
52,1291
53,1363
54,1437
55,1513
56,1591
57,1682
58,1787
59,1899
60,2018
61,2142
62,2270
63,2402
64,2538
65,2678
66,2822
67,2970
68,3122
69,3278
70,3438
71,3602
72,3770
73,3942
74,4118
75,4298
76,4482
77,4670
78,4862
79,5057
80,5255
81,5456
82,5660
83,5867
84,6077
85,6290
86,6506
87,6725
88,6947
89,7189
90,7455
91,7728
92,8008
93,8295
94,8589
95,8889
96,9195
97,9507
98,9825
99,10149
100,10479
101,10816
102,11161
103,11514
104,11876
105,12249
106,12634
107,13031
108,13441
109,13863
110,14296
111,14739
112,15191
113,15652
114,16121
115,16597
116,17080
117,17569
118,18063
119,18563
120,19068
121,19593
122,20144
123,20702
124,21265
125,21833
126,22408
127,22999
128,23637
129,24346
130,25108
131,25907
132,26754
133,27664
134,28652
135,29723
136,30874
137,32086
138,33356
139,34700
140,36115
141,37590
142,39130
143,40739
144,42408
145,44135
146,45916
147,47751
148,49640
149,51583
150,53578
151,55629
152,57738
153,59923
154,62185
155,64501
156,66869
157,69289
158,71763
159,74319
160,77022
161,79901
162,82911
163,86046
164,89320
165,92748
166,96350
167,100140
168,104096
169,108184
170,112413
171,116794
172,121310
173,125952
174,130728
175,135642
176,140720
177,145997
178,151461
179,157103
180,162928
181,168924
182,175089
183,181409
184,187878
185,194548
186,201441
187,208482
188,215672
189,223015
190,230525
191,238237
192,246215
193,254516
194,263059
195,271807
196,280772
197,289962
198,299392
199,309084
200,319021
201,329167
202,339517
203,350088
204,360862
205,371814
206,382950
207,394298
208,405919
209,417858
210,430092
211,442591
212,455347
213,468366
214,481648
215,495177
216,508982
217,522996
218,537323
219,551875
220,566677
221,581737
222,597040
223,612614
224,628582
225,645019
226,661782
227,678788
228,696022
229,713524
230,731329
231,749450
232,767894
233,786628
234,805642
235,825018
236,844789
237,864872
238,885277
239,906036
240,927243
241,948981
242,971179
243,993786
244,1016832
