depth,states
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,20
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,29
29,30
30,31
31,32
32,42
33,61
34,88
35,123
36,166
37,217
38,276
39,343
40,418
41,501
42,592
43,691
44,798
45,913
46,1036
47,1167
48,1306
49,1453
50,1608
51,1771
52,1942
53,2121
54,2308
55,2503
56,2706
57,2917
58,3136
59,3363
60,3598
61,3841
62,4092
63,4351
64,4618
65,4910
66,5227
67,5561
68,5912
69,6280
70,6665
71,7067
72,7486
73,7922
74,8375
75,8845
76,9332
77,9836
78,10357
79,10895
80,11450
81,12022
82,12611
83,13217
84,13840
85,14480
86,15137
87,15811
88,16502
89,17210
90,17935
91,18677
92,19436
93,20212
94,21005
95,21815
96,22642
97,23485
98,24368
99,25336
100,26373
101,27524
102,28784
103,30148
104,31616
105,33188
106,34864
107,36644
108,38528
109,40516
110,42608
111,44804
112,47104
113,49508
114,52016
115,54628
116,57344
117,60164
118,63088
119,66116
120,69248
121,72484
122,75824
123,79268
124,82816
125,86468
126,90224
127,94084
128,98048
129,102116
130,106288
131,110579
132,115070
133,119737
134,124746
135,130063
136,135664
137,141682
138,147984
139,154570
140,161440
141,168461
142,175766
143,183355
144,191228
145,199385
146,207826
147,216551
148,225560
149,234853
150,244430
151,254291
152,264436
153,274998
154,285884
155,297124
156,308723
157,320528
158,332717
159,345305
160,358242
161,371513
162,385118
163,399057
164,413330
165,427955
166,442917
167,458507
168,474654
169,491754
170,509321
171,527355
172,545856
173,564338
174,583287
175,602703
176,622586
177,642936
178,663753
179,685037
180,706796
181,729038
182,751763
183,774967
184,798674
185,823371
186,848612
187,874532
188,901106
189,927757
190,955036
191,982921
192,1011388
