depth,states
0,1
1,2
2,7
3,12
4,17
5,22
6,31
7,40
8,49
9,58
10,71
11,84
12,97
13,110
14,127
15,144
16,161
17,178
18,204
19,229
20,254
21,279
22,317
23,354
24,391
25,428
26,494
27,556
28,618
29,680
30,775
31,866
32,957
33,1048
34,1181
35,1309
36,1437
37,1565
38,1744
39,1918
40,2092
41,2266
42,2497
43,2720
44,2943
45,3166
46,3485
47,3792
48,4099
49,4406
50,4892
51,5341
52,5790
53,6239
54,6906
55,7536
56,8166
57,8796
58,9674
59,10511
60,11348
61,12185
62,13347
63,14453
64,15559
65,16665
66,18205
67,19643
68,21081
69,22519
70,24584
71,26477
72,28370
73,30263
74,33159
75,35756
76,38353
77,40950
78,44862
79,48418
80,51974
81,55530
82,60639
83,65304
84,69969
85,74634
86,81282
87,87339
88,93396
89,99453
90,108049
91,115810
92,123571
93,131332
94,142622
95,152669
96,162716
97,172763
98,187989
99,201366
100,214743
101,228120
102,248451
103,266518
104,284585
105,302652
106,329377
107,353350
108,377323
109,401296
110,435745
111,466662
112,497579
113,528496
114,573150
115,612967
116,652784
117,692601
118,750166
119,801030
120,851894
121,902758
122,979132
123,1045926
